month,branch,canton,format,cup_pilot,customers,avg_spend_chf,revenue_chf,promo_spend_chf,staff_hours,mean_temp_c
2024-11,Geneve-Cornavin,GE,station,0,6891,13.92,95900.0,3543.0,1113,6.4
2024-11,Geneve-Eaux-Vives,GE,street,0,5001,17.12,85618.0,2140.0,743,6.4
2024-11,Montreux,VD,street,0,4346,17.99,78168.0,1088.0,638,6.4
2024-11,Yverdon,VD,mall,0,3484,13.0,45301.0,3788.0,485,6.4
2024-11,Renens,VD,mall,0,3530,11.95,42188.0,1721.0,569,6.4
2024-11,Gland,VD,street,0,2901,16.06,46581.0,2130.0,390,6.4
2024-12,Nyon,VD,station,0,5268,15.48,81558.0,5428.0,725,3.0
2024-12,Vevey,VD,street,0,4281,14.45,61857.0,624.0,617,3.0
2024-12,Morges,VD,street,0,4148,15.15,62826.0,2611.0,686,3.0
2024-12,Rolle,VD,street,0,3471,17.82,61848.0,3981.0,537,3.0
2024-12,Lausanne-Flon,VD,street,0,6529,15.96,104233.0,4711.0,972,3.0
2024-12,Lausanne-Gare,VD,station,0,7640,14.3,109256.0,4581.0,1195,3.0
2024-12,Geneve-Cornavin,GE,station,0,7886,13.75,108423.0,3948.0,1042,3.0
2024-12,Geneve-Eaux-Vives,GE,street,0,4900,18.25,89395.0,3029.0,833,3.0
2024-12,Montreux,VD,street,0,4746,17.73,84127.0,992.0,637,3.0
2024-12,Yverdon,VD,mall,0,3955,12.44,49211.0,2106.0,575,3.0
2024-12,Renens,VD,mall,0,4152,12.4,51468.0,2206.0,582,3.0
2024-12,Gland,VD,street,0,3261,16.09,52460.0,1977.0,429,3.0
2025-01,Nyon,VD,station,0,3862,15.69,60608.0,2702.0,549,2.1
2025-01,Vevey,VD,street,0,3224,14.01,45166.0,1934.0,499,2.1
2025-01,Morges,VD,street,0,3781,16.12,60965.0,4515.0,500,2.1
2025-01,Rolle,VD,street,0,3060,15.58,47694.0,0.0,428,2.1
2025-01,Lausanne-Flon,VD,street,0,5500,16.86,92729.0,4101.0,796,2.1
2025-01,Lausanne-Gare,VD,station,0,6259,14.39,90062.0,4452.0,849,2.1
2025-01,Geneve-Cornavin,GE,station,0,6519,14.21,92615.0,4837.0,938,2.1
2025-01,Geneve-Eaux-Vives,GE,street,0,4473,17.11,76523.0,1310.0,633,2.1
2025-01,Montreux,VD,street,0,3980,18.4,73216.0,2842.0,574,2.1
2025-01,Yverdon,VD,mall,0,2872,12.35,35454.0,1196.0,459,2.1
2025-01,Renens,VD,mall,0,3275,12.1,39636.0,2286.0,501,2.1
2025-01,Gland,VD,street,0,2425,15.78,38270.0,1570.0,354,2.1
2025-02,Nyon,VD,station,0,4341,15.61,67757.0,1653.0,590,3.4
2025-02,Vevey,VD,street,0,3681,15.08,55507.0,2118.0,512,3.4
2025-02,Morges,VD,street,0,3696,15.17,56078.0,1387.0,568,3.4
2025-02,Rolle,VD,street,0,3144,17.1,53775.0,761.0,405,3.4
2025-02,Lausanne-Flon,VD,street,0,5401,17.7,95584.0,4409.0,793,3.4
2025-02,Lausanne-Gare,VD,station,0,6409,14.27,91480.0,5023.0,959,3.4
2025-02,Geneve-Cornavin,GE,station,0,6621,13.26,87803.0,1313.0,983,3.4
2025-02,Geneve-Eaux-Vives,GE,street,0,4879,17.71,86399.0,3598.0,609,3.4
2025-02,Montreux,VD,street,0,3948,19.09,75351.0,2410.0,545,3.4
2025-02,Yverdon,VD,mall,0,3297,12.99,42819.0,1899.0,462,3.4
2025-02,Renens,VD,mall,0,3467,11.89,41220.0,2198.0,450,3.4
2025-02,Gland,VD,street,0,2545,15.83,40284.0,749.0,370,3.4
2025-03,Nyon,VD,station,0,4227,15.81,66838.0,2261.0,569,7.6
2025-03,Vevey,VD,street,0,3549,14.55,51626.0,2950.0,552,7.6
2025-03,Morges,VD,street,0,4011,15.82,63464.0,3155.0,673,7.6
2025-03,Rolle,VD,street,0,2959,17.59,52060.0,2563.0,451,7.6
2025-03,Lausanne-Flon,VD,street,0,5486,17.88,98105.0,2847.0,822,7.6
2025-03,Lausanne-Gare,VD,station,0,6653,13.53,89988.0,2877.0,936,7.6
2025-03,Geneve-Cornavin,GE,station,0,6701,14.01,93893.0,5642.0,1017,7.6
2025-03,Geneve-Eaux-Vives,GE,street,0,5044,18.09,91227.0,3554.0,714,7.6
2025-03,Montreux,VD,street,0,4360,17.99,78440.0,2582.0,576,7.6
2025-03,Yverdon,VD,mall,0,3363,12.76,42905.0,1745.0,483,7.6
2025-03,Renens,VD,mall,0,3386,12.44,42124.0,3870.0,496,7.6
2025-03,Gland,VD,street,0,2926,15.68,45895.0,1482.0,395,7.6
2025-04,Nyon,VD,station,0,5054,16.61,83978.0,2551.0,654,11.5
2025-04,Vevey,VD,street,0,3983,15.08,60068.0,3328.0,573,11.5
2025-04,Morges,VD,street,0,4344,15.61,67785.0,2445.0,565,11.5
2025-04,Rolle,VD,street,0,3177,17.54,55713.0,2978.0,455,11.5
2025-04,Lausanne-Flon,VD,street,0,5615,17.27,96977.0,3033.0,840,11.5
2025-04,Lausanne-Gare,VD,station,0,6914,14.11,97566.0,3248.0,892,11.5
2025-04,Geneve-Cornavin,GE,station,0,6906,14.51,100194.0,4737.0,1071,11.5
2025-04,Geneve-Eaux-Vives,GE,street,0,5345,18.66,99721.0,3740.0,769,11.5
2025-04,Montreux,VD,street,0,4244,18.57,78813.0,2528.0,652,11.5
2025-04,Yverdon,VD,mall,0,3557,12.96,46089.0,2244.0,545,11.5
2025-04,Renens,VD,mall,0,3863,12.21,47175.0,2027.0,485,11.5
2025-04,Gland,VD,street,0,2820,15.72,44326.0,1580.0,427,11.5
2025-05,Nyon,VD,station,0,4243,15.62,66271.0,1753.0,594,15.8
2025-05,Vevey,VD,street,0,4183,14.08,58907.0,2075.0,575,15.8
2025-05,Morges,VD,street,0,4386,16.2,71033.0,3187.0,606,15.8
2025-05,Rolle,VD,street,0,3461,17.43,60335.0,3019.0,469,15.8
2025-05,Lausanne-Flon,VD,street,0,5941,17.41,103449.0,4339.0,839,15.8
2025-05,Lausanne-Gare,VD,station,0,7343,14.22,104415.0,2972.0,989,15.8
2025-05,Geneve-Cornavin,GE,station,0,7209,14.88,107293.0,4262.0,1174,15.8
2025-05,Geneve-Eaux-Vives,GE,street,0,5203,17.8,92623.0,2782.0,776,15.8
2025-05,Montreux,VD,street,0,4456,18.67,83201.0,3089.0,595,15.8
2025-05,Yverdon,VD,mall,0,3869,12.77,49429.0,1664.0,505,15.8
2025-05,Renens,VD,mall,0,4090,12.53,51255.0,3279.0,531,15.8
2025-05,Gland,VD,street,0,2878,16.45,47329.0,2254.0,445,15.8
2025-06,Nyon,VD,station,0,4474,16.01,71621.0,2313.0,666,19.7
2025-06,Vevey,VD,street,0,3895,15.57,60666.0,2017.0,609,19.7
2025-06,Morges,VD,street,0,4161,16.2,67419.0,1901.0,582,19.7
2025-06,Rolle,VD,street,0,3245,17.44,56607.0,2933.0,488,19.7
2025-06,Lausanne-Flon,VD,street,0,6529,16.93,110549.0,3138.0,809,19.7
2025-06,Lausanne-Gare,VD,station,0,6803,13.84,94183.0,2862.0,983,19.7
2025-06,Geneve-Cornavin,GE,station,0,6548,13.45,88074.0,4933.0,1011,19.7
2025-06,Geneve-Eaux-Vives,GE,street,0,4781,17.83,85254.0,3059.0,777,19.7
2025-06,Montreux,VD,street,0,4148,19.6,81312.0,4546.0,605,19.7
2025-06,Yverdon,VD,mall,0,3375,12.54,42316.0,2083.0,499,19.7
2025-06,Renens,VD,mall,0,4045,12.54,50710.0,2827.0,560,19.7
2025-06,Gland,VD,street,0,3117,16.5,51428.0,3506.0,430,19.7
2025-07,Nyon,VD,station,0,3969,16.78,66615.0,2588.0,595,22.4
2025-07,Vevey,VD,street,0,3223,15.0,48331.0,3956.0,477,22.4
2025-07,Morges,VD,street,0,3653,15.62,57045.0,632.0,502,22.4
2025-07,Rolle,VD,street,0,2949,18.32,54043.0,3887.0,405,22.4
2025-07,Lausanne-Flon,VD,street,0,5474,17.74,97140.0,3497.0,666,22.4
2025-07,Lausanne-Gare,VD,station,0,5893,15.05,88714.0,4384.0,863,22.4
2025-07,Geneve-Cornavin,GE,station,0,6346,13.82,87683.0,3988.0,914,22.4
2025-07,Geneve-Eaux-Vives,GE,street,0,4132,17.92,74054.0,2607.0,583,22.4
2025-07,Montreux,VD,street,0,3473,18.71,64998.0,2606.0,474,22.4
2025-07,Yverdon,VD,mall,0,2718,13.25,35999.0,1985.0,417,22.4
2025-07,Renens,VD,mall,0,3097,13.04,40399.0,3335.0,442,22.4
2025-07,Gland,VD,street,0,2571,15.73,40445.0,757.0,339,22.4
2025-08,Nyon,VD,station,0,3483,16.0,55719.0,3752.0,551,21.6
2025-08,Vevey,VD,street,0,3203,15.64,50108.0,1684.0,425,21.6
2025-08,Morges,VD,street,0,3528,16.28,57430.0,1870.0,495,21.6
2025-08,Rolle,VD,street,0,2617,17.98,47052.0,2037.0,399,21.6
2025-08,Lausanne-Flon,VD,street,0,5081,17.8,90438.0,5038.0,695,21.6
2025-08,Lausanne-Gare,VD,station,0,5676,14.95,84833.0,4870.0,794,21.6
2025-08,Geneve-Cornavin,GE,station,0,5782,14.78,85476.0,5380.0,822,21.6
2025-08,Geneve-Eaux-Vives,GE,street,0,4084,18.79,76725.0,4363.0,542,21.6
2025-08,Montreux,VD,street,0,3568,18.76,66936.0,2075.0,485,21.6
2025-08,Yverdon,VD,mall,0,2707,13.6,36821.0,1414.0,392,21.6
2025-08,Renens,VD,mall,0,3207,13.05,41862.0,1466.0,473,21.6
2025-08,Gland,VD,street,0,2467,15.48,38181.0,1060.0,346,21.6
2025-09,Nyon,VD,station,0,4127,16.68,68827.0,1609.0,616,16.9
2025-09,Vevey,VD,street,0,3906,15.43,60282.0,2626.0,573,16.9
2025-09,Morges,VD,street,0,4068,15.09,61386.0,2131.0,581,16.9
2025-09,Rolle,VD,street,0,3313,18.3,60633.0,1217.0,427,16.9
2025-09,Lausanne-Flon,VD,street,0,6232,17.38,108285.0,3919.0,907,16.9
2025-09,Lausanne-Gare,VD,station,0,6624,14.07,93187.0,2788.0,917,16.9
2025-09,Geneve-Cornavin,GE,station,0,7141,14.43,103030.0,5044.0,1051,16.9
2025-09,Geneve-Eaux-Vives,GE,street,0,5146,18.24,93890.0,3122.0,707,16.9
2025-09,Montreux,VD,street,0,4664,19.0,88597.0,3093.0,574,16.9
2025-09,Yverdon,VD,mall,0,3669,12.93,47450.0,1619.0,499,16.9
2025-09,Renens,VD,mall,0,3770,11.97,45146.0,2238.0,542,16.9
2025-09,Gland,VD,street,0,2908,15.49,45046.0,1395.0,394,16.9
2025-10,Nyon,VD,station,0,4609,16.98,78247.0,3288.0,638,12.1
2025-10,Vevey,VD,street,0,4094,14.9,61001.0,3529.0,641,12.1
2025-10,Morges,VD,street,0,4419,16.77,74096.0,3321.0,596,12.1
2025-10,Rolle,VD,street,0,3456,17.45,60318.0,884.0,471,12.1
2025-10,Lausanne-Flon,VD,street,0,6254,16.65,104147.0,2488.0,785,12.1
2025-10,Lausanne-Gare,VD,station,0,6465,14.85,95984.0,3927.0,964,12.1
2025-10,Geneve-Cornavin,GE,station,0,7634,13.74,104911.0,2890.0,1068,12.1
2025-10,Geneve-Eaux-Vives,GE,street,0,5476,18.21,99712.0,4120.0,790,12.1
2025-10,Montreux,VD,street,0,4722,18.55,87570.0,2454.0,654,12.1
2025-10,Yverdon,VD,mall,0,3404,12.07,41096.0,1791.0,511,12.1
2025-10,Renens,VD,mall,0,4163,13.1,54520.0,1749.0,581,12.1
2025-10,Gland,VD,street,0,3029,15.18,45974.0,3023.0,372,12.1
2025-11,Nyon,VD,station,1,4168,15.51,64634.0,1183.0,666,6.4
2025-11,Vevey,VD,street,1,3870,15.82,61209.0,1437.0,572,6.4
2025-11,Morges,VD,street,1,4328,15.95,69044.0,1614.0,593,6.4
2025-11,Rolle,VD,street,1,3336,18.05,60211.0,2622.0,463,6.4
2025-11,Lausanne-Flon,VD,street,0,6211,16.91,105005.0,3217.0,893,6.4
2025-11,Lausanne-Gare,VD,station,0,7673,14.57,111837.0,3914.0,989,6.4
2025-11,Geneve-Cornavin,GE,station,0,7572,12.98,98284.0,3086.0,1030,6.4
2025-11,Geneve-Eaux-Vives,GE,street,0,5078,17.35,88091.0,2422.0,725,6.4
2025-11,Montreux,VD,street,0,4458,18.68,83265.0,2842.0,553,6.4
2025-11,Yverdon,VD,mall,0,3713,13.45,49942.0,2363.0,532,6.4
2025-11,Renens,VD,mall,0,4106,12.85,52766.0,2426.0,529,6.4
2025-11,Gland,VD,street,0,2867,16.14,46262.0,3256.0,452,6.4
2025-12,Nyon,VD,station,1,5365,16.81,90184.0,2505.0,783,3.0
2025-12,Vevey,VD,street,1,4570,15.62,71396.0,4304.0,574,3.0
2025-12,Morges,VD,street,1,4913,16.97,83383.0,3404.0,661,3.0
2025-12,Rolle,VD,street,1,3660,17.7,64776.0,1080.0,531,3.0
2025-12,Lausanne-Flon,VD,street,0,6617,17.35,114798.0,4371.0,883,3.0
2025-12,Lausanne-Gare,VD,station,0,7537,13.66,102934.0,3835.0,1069,3.0
2025-12,Geneve-Cornavin,GE,station,0,8268,13.93,115148.0,4689.0,1225,3.0
2025-12,Geneve-Eaux-Vives,GE,street,0,5648,17.68,99888.0,2830.0,835,3.0
2025-12,Montreux,VD,street,0,4744,18.38,87184.0,2623.0,640,3.0
2025-12,Yverdon,VD,mall,0,4501,12.06,54296.0,2461.0,556,3.0
2025-12,Renens,VD,mall,0,4174,11.71,48861.0,1554.0,622,3.0
2025-12,Gland,VD,street,0,3457,15.32,52968.0,1053.0,452,3.0
2026-01,Nyon,VD,station,1,4050,16.38,66348.0,2187.0,606,2.1
2026-01,Vevey,VD,street,1,3445,15.04,51821.0,1262.0,510,2.1
2026-01,Morges,VD,street,1,3847,16.2,62315.0,3229.0,530,2.1
2026-01,Rolle,VD,street,1,3033,16.99,51534.0,761.0,407,2.1
2026-01,Lausanne-Flon,VD,street,0,5752,17.02,97867.0,3118.0,814,2.1
2026-01,Lausanne-Gare,VD,station,0,6391,13.14,83968.0,2589.0,947,2.1
2026-01,Geneve-Cornavin,GE,station,0,6824,14.22,97049.0,5796.0,889,2.1
2026-01,Geneve-Eaux-Vives,GE,street,0,4769,17.52,83530.0,2538.0,621,2.1
2026-01,Montreux,VD,street,0,3867,17.98,69530.0,1375.0,582,2.1
2026-01,Yverdon,VD,mall,0,3463,11.85,41045.0,1036.0,475,2.1
2026-01,Renens,VD,mall,0,3850,12.56,48348.0,3684.0,471,2.1
2026-01,Gland,VD,street,0,2590,15.37,39810.0,1059.0,341,2.1
2026-02,Nyon,VD,station,1,4204,16.41,68987.0,2466.0,587,3.4
2026-02,Vevey,VD,street,1,3653,15.9,58075.0,2629.0,505,3.4
2026-02,Morges,VD,street,1,3999,15.95,63780.0,3106.0,561,3.4
2026-02,Rolle,VD,street,1,3018,17.93,54104.0,2654.0,366,3.4
2026-02,Lausanne-Flon,VD,street,0,5780,16.95,97982.0,2854.0,807,3.4
2026-02,Lausanne-Gare,VD,station,0,6456,13.31,85957.0,3644.0,912,3.4
2026-02,Geneve-Cornavin,GE,station,0,6732,13.28,89386.0,2955.0,966,3.4
2026-02,Geneve-Eaux-Vives,GE,street,0,4863,17.1,83138.0,2139.0,706,3.4
2026-02,Montreux,VD,street,0,4223,19.09,80611.0,2963.0,532,3.4
2026-02,Yverdon,VD,mall,0,3446,11.69,40281.0,2332.0,458,3.4
2026-02,Renens,VD,mall,0,3618,13.01,47078.0,2015.0,487,3.4
2026-02,Gland,VD,street,0,2663,15.89,42305.0,1158.0,383,3.4
2026-03,Nyon,VD,station,1,5060,17.36,87861.0,2939.0,627,7.6
2026-03,Vevey,VD,street,1,4129,16.26,67135.0,3586.0,574,7.6
2026-03,Morges,VD,street,1,4393,16.23,71277.0,2134.0,600,7.6
2026-03,Rolle,VD,street,1,3073,18.05,55476.0,3035.0,435,7.6
2026-03,Lausanne-Flon,VD,street,0,6138,16.98,104243.0,2809.0,914,7.6
2026-03,Lausanne-Gare,VD,station,0,6809,15.01,102219.0,5003.0,949,7.6
2026-03,Geneve-Cornavin,GE,station,0,7375,14.7,108412.0,5035.0,1003,7.6
2026-03,Geneve-Eaux-Vives,GE,street,0,5391,17.29,93191.0,3676.0,688,7.6
2026-03,Montreux,VD,street,0,4322,19.42,83953.0,3742.0,590,7.6
2026-03,Yverdon,VD,mall,0,3717,11.99,44573.0,2329.0,492,7.6
2026-03,Renens,VD,mall,0,3813,12.54,47802.0,1439.0,521,7.6
2026-03,Gland,VD,street,0,3184,15.72,50065.0,1995.0,390,7.6
2026-04,Nyon,VD,station,1,4806,16.84,80927.0,1510.0,686,11.5
2026-04,Vevey,VD,street,1,4151,16.13,66943.0,3815.0,561,11.5
2026-04,Morges,VD,street,1,4334,16.59,71877.0,3504.0,596,11.5
2026-04,Rolle,VD,street,1,3397,17.22,58502.0,1752.0,519,11.5
2026-04,Lausanne-Flon,VD,street,0,6653,17.14,114014.0,2694.0,887,11.5
2026-04,Lausanne-Gare,VD,station,0,6862,13.88,95263.0,4158.0,1034,11.5
2026-04,Geneve-Cornavin,GE,station,0,7577,13.75,104158.0,4673.0,1107,11.5
2026-04,Geneve-Eaux-Vives,GE,street,0,5176,18.12,93761.0,3748.0,738,11.5
2026-04,Montreux,VD,street,0,4630,18.06,83624.0,1254.0,618,11.5
2026-04,Yverdon,VD,mall,0,3436,12.79,43947.0,680.0,529,11.5
2026-04,Renens,VD,mall,0,4196,12.31,51658.0,2234.0,443,11.5
2026-04,Gland,VD,street,0,3054,16.42,50157.0,2794.0,433,11.5
2026-05,Nyon,VD,station,1,5048,16.48,83170.0,2419.0,671,15.8
2026-05,Vevey,VD,street,1,4674,14.92,69765.0,2188.0,576,15.8
2026-05,Morges,VD,street,1,4467,15.85,70784.0,1257.0,592,15.8
2026-05,Rolle,VD,street,1,3541,17.93,63499.0,1847.0,486,15.8
2026-05,Lausanne-Flon,VD,street,0,6383,16.99,108473.0,4575.0,882,15.8
2026-05,Lausanne-Gare,VD,station,0,7388,13.75,101575.0,2492.0,1051,15.8
2026-05,Geneve-Cornavin,GE,station,0,7340,13.97,102503.0,3422.0,1080,15.8
2026-05,Geneve-Eaux-Vives,GE,street,0,5701,18.05,102893.0,2511.0,775,15.8
2026-05,Montreux,VD,street,0,4775,18.76,89573.0,3701.0,545,15.8
2026-05,Yverdon,VD,mall,0,4024,12.12,48763.0,1300.0,508,15.8
2026-05,Renens,VD,mall,0,4137,13.09,54154.0,3582.0,538,15.8
2026-05,Gland,VD,street,0,3203,16.07,51455.0,1969.0,419,15.8
2026-06,Nyon,VD,station,1,4793,16.94,81196.0,2734.0,627,19.7
2026-06,Vevey,VD,street,1,3962,15.16,60065.0,2647.0,513,19.7
2026-06,Morges,VD,street,1,4366,16.64,72654.0,2972.0,581,19.7
2026-06,Rolle,VD,street,1,3482,18.27,63626.0,2668.0,501,19.7
2026-06,Lausanne-Flon,VD,street,0,5922,16.57,98099.0,2612.0,881,19.7
2026-06,Lausanne-Gare,VD,station,0,6681,13.98,93393.0,4007.0,939,19.7
2026-06,Geneve-Cornavin,GE,station,0,8133,14.2,115467.0,4017.0,1074,19.7
2026-06,Geneve-Eaux-Vives,GE,street,0,5503,18.14,99813.0,3047.0,709,19.7
2026-06,Montreux,VD,street,0,4385,18.28,80187.0,45.0,623,19.7
2026-06,Yverdon,VD,mall,0,3721,13.17,49004.0,969.0,461,19.7
2026-06,Renens,VD,mall,0,4089,12.54,51290.0,3632.0,576,19.7
2026-06,Gland,VD,street,0,3024,16.94,51243.0,1381.0,455,19.7
2026-07,Nyon,VD,station,1,4081,16.24,66260.0,1394.0,549,22.4
2026-07,Vevey,VD,street,1,3559,16.55,58916.0,4035.0,436,22.4
2026-07,Morges,VD,street,1,3649,16.64,60719.0,1474.0,537,22.4
2026-07,Rolle,VD,street,1,2892,18.07,52257.0,1901.0,361,22.4
2026-07,Lausanne-Flon,VD,street,0,5657,17.95,101526.0,3185.0,662,22.4
2026-07,Lausanne-Gare,VD,station,0,6061,14.74,89369.0,4834.0,782,22.4
2026-07,Geneve-Cornavin,GE,station,0,6745,13.69,92342.0,3062.0,818,22.4
2026-07,Geneve-Eaux-Vives,GE,street,0,4000,18.66,74658.0,3684.0,609,22.4
2026-07,Montreux,VD,street,0,3764,18.65,70198.0,2577.0,535,22.4
2026-07,Yverdon,VD,mall,0,3305,13.29,43928.0,1976.0,426,22.4
2026-07,Renens,VD,mall,0,3234,13.09,42342.0,1927.0,435,22.4
2026-07,Gland,VD,street,0,2494,16.42,40950.0,2205.0,361,22.4
2026-08,Nyon,VD,station,1,3786,16.92,64046.0,2438.0,523,21.6
2026-08,Vevey,VD,street,1,3459,14.94,51692.0,2196.0,478,21.6
2026-08,Morges,VD,street,1,3498,17.0,59461.0,3184.0,460,21.6
2026-08,Rolle,VD,street,1,2948,19.02,56069.0,1374.0,390,21.6
2026-08,Lausanne-Flon,VD,street,0,4710,17.4,81922.0,2322.0,714,21.6
2026-08,Lausanne-Gare,VD,station,0,5907,14.2,83900.0,2950.0,834,21.6
2026-08,Geneve-Cornavin,GE,station,0,6756,14.51,98050.0,5253.0,887,21.6
2026-08,Geneve-Eaux-Vives,GE,street,0,4280,18.25,78113.0,3487.0,611,21.6
2026-08,Montreux,VD,street,0,3515,18.52,65107.0,2024.0,520,21.6
2026-08,Yverdon,VD,mall,0,3072,13.41,41196.0,1213.0,435,21.6
2026-08,Renens,VD,mall,0,3418,12.71,43449.0,3265.0,428,21.6
2026-08,Gland,VD,street,0,2658,15.73,41800.0,1419.0,364,21.6
