member_id,branch,segment,age_band,visits_per_month,avg_spend_chf,joined_cup,satisfaction_1_7,owns_reusable_cup
CL4134,Vevey,student,35-49,17,11.87,no,6,no
CL4135,Vevey,commuter,35-49,4,13.95,no,6,yes
CL4136,Montreux,commuter,65+,3,15.76,no,5,no
CL4137,Yverdon,commuter,65+,16,16.2,no,6,no
CL4138,Yverdon,commuter,35-49,3,14.65,no,4,no
CL4139,Nyon,local,25-34,2,14.29,no,6,no
CL4140,Geneve-Eaux-Vives,commuter,25-34,9,11.22,yes,7,yes
CL4141,Vevey,local,25-34,16,26.13,yes,5,yes
CL4142,Geneve-Cornavin,student,18-24,6,13.4,no,4,no
CL4143,Montreux,tourist,18-24,3,24.04,no,5,no
CL4144,Yverdon,commuter,25-34,6,17.03,yes,7,yes
CL4145,Yverdon,local,50-64,3,16.33,yes,5,yes
CL4146,Lausanne-Flon,local,50-64,8,17.61,no,3,yes
CL4147,Nyon,local,65+,11,18.73,yes,6,no
CL4148,Gland,tourist,25-34,4,17.61,no,5,no
CL4149,Renens,local,35-49,7,15.85,no,4,no
CL4150,Morges,commuter,65+,2,18.24,yes,6,yes
CL4151,Geneve-Cornavin,local,25-34,2,16.29,yes,2,no
CL4152,Yverdon,student,35-49,3,10.71,no,6,no
CL4153,Morges,student,18-24,5,9.22,no,4,no
CL4154,Geneve-Cornavin,tourist,65+,6,18.0,no,7,no
CL4155,Rolle,tourist,35-49,9,18.79,no,7,no
CL4156,Geneve-Eaux-Vives,commuter,35-49,4,14.26,yes,5,yes
CL4157,Renens,commuter,25-34,3,11.75,no,7,yes
CL4158,Geneve-Eaux-Vives,student,18-24,10,13.82,no,6,no
CL4159,Lausanne-Flon,local,18-24,5,13.54,no,6,no
CL4160,Gland,commuter,65+,3,17.31,yes,5,yes
CL4161,Lausanne-Flon,local,25-34,5,18.91,no,4,no
CL4162,Montreux,commuter,65+,5,18.2,yes,5,no
CL4163,Geneve-Eaux-Vives,local,25-34,3,15.33,no,5,yes
CL4164,Geneve-Eaux-Vives,commuter,65+,5,16.86,yes,6,no
CL4165,Renens,commuter,50-64,3,14.03,no,6,no
CL4166,Lausanne-Flon,student,18-24,3,13.52,yes,5,yes
CL4167,Morges,commuter,35-49,2,12.66,no,6,no
CL4168,Yverdon,commuter,50-64,4,13.68,no,6,no
CL4169,Montreux,student,50-64,3,18.71,yes,6,yes
CL4170,Montreux,student,25-34,8,12.72,no,4,no
CL4171,Lausanne-Gare,commuter,50-64,3,9.86,no,6,no
CL4172,Lausanne-Flon,local,65+,2,17.51,yes,5,no
CL4173,Nyon,student,65+,6,12.5,no,3,no
CL4174,Lausanne-Flon,local,18-24,4,14.61,yes,6,yes
CL4175,Nyon,commuter,25-34,5,13.65,no,5,no
CL4176,Renens,student,50-64,6,10.61,no,4,no
CL4177,Vevey,student,35-49,6,11.87,no,4,no
CL4178,Geneve-Cornavin,local,65+,7,15.72,no,4,yes
CL4179,Yverdon,local,18-24,4,18.18,yes,4,yes
CL4180,Yverdon,student,65+,6,11.23,no,5,no
CL4181,Renens,student,18-24,30,16.3,no,4,no
CL4182,Vevey,student,25-34,2,13.15,yes,7,yes
CL4183,Geneve-Eaux-Vives,local,50-64,12,19.0,yes,6,yes
CL4184,Renens,tourist,35-49,6,14.09,no,6,no
CL4185,Geneve-Cornavin,student,18-24,3,15.34,yes,4,yes
CL4186,Geneve-Cornavin,student,65+,8,12.03,no,4,no
CL4187,Montreux,student,18-24,5,12.79,yes,7,yes
CL4188,Morges,tourist,35-49,4,18.38,no,4,yes
CL4189,Renens,local,65+,3,13.87,no,5,no
CL4190,Geneve-Eaux-Vives,tourist,25-34,2,18.0,no,4,yes
CL4191,Yverdon,student,25-34,5,10.5,no,7,no
CL4192,Lausanne-Flon,local,18-24,6,16.52,no,5,yes
CL4193,Lausanne-Flon,commuter,35-49,6,15.71,yes,6,no
CL4194,Nyon,commuter,50-64,7,15.46,no,6,yes
CL4195,Montreux,local,18-24,4,15.37,yes,6,yes
CL4196,Geneve-Cornavin,tourist,25-34,4,18.84,no,5,yes
CL4197,Montreux,tourist,25-34,4,17.59,no,5,no
CL4198,Vevey,local,25-34,1,20.69,yes,6,yes
CL4199,Geneve-Eaux-Vives,student,65+,5,10.07,no,5,no
CL4200,Nyon,student,18-24,5,12.53,yes,5,yes
CL4201,Yverdon,student,50-64,5,9.31,no,5,no
CL4202,Gland,student,65+,7,9.99,yes,5,no
CL4203,Renens,tourist,18-24,4,19.17,yes,4,yes
CL4204,Lausanne-Flon,commuter,65+,2,14.54,no,5,no
CL4205,Vevey,student,65+,8,12.66,yes,7,yes
CL4206,Gland,commuter,65+,6,15.51,yes,6,yes
CL4207,Rolle,commuter,25-34,16,16.04,no,6,no
CL4208,Geneve-Eaux-Vives,tourist,35-49,4,18.64,no,3,no
CL4209,Geneve-Eaux-Vives,local,65+,14,24.24,no,2,no
CL4210,Gland,local,35-49,6,19.68,no,4,yes
CL4211,Montreux,local,35-49,1,19.99,yes,7,no
CL4212,Yverdon,local,35-49,7,19.24,yes,5,yes
CL4213,Montreux,commuter,35-49,2,13.59,yes,5,no
CL4214,Lausanne-Gare,commuter,35-49,3,16.61,no,7,no
CL4215,Renens,local,35-49,3,12.38,no,6,no
CL4216,Lausanne-Gare,local,65+,9,17.46,no,5,no
CL4217,Rolle,local,50-64,14,16.26,yes,7,no
CL4218,Geneve-Cornavin,commuter,50-64,5,13.4,yes,6,no
CL4219,Vevey,student,18-24,7,14.46,no,4,no
CL4220,Montreux,local,50-64,4,17.16,no,6,no
CL4221,Montreux,local,50-64,2,21.76,no,5,yes
CL4222,Geneve-Cornavin,commuter,35-49,5,15.66,yes,7,yes
CL4223,Yverdon,student,65+,3,14.38,no,6,no
CL4224,Montreux,local,35-49,7,16.22,no,6,no
CL4225,Yverdon,tourist,65+,2,14.05,no,5,yes
CL4226,Geneve-Cornavin,student,50-64,3,10.98,no,3,no
CL4227,Montreux,commuter,18-24,9,13.43,no,5,no
CL4228,Lausanne-Flon,local,65+,8,20.6,no,5,yes
CL4229,Gland,local,50-64,14,19.42,no,3,no
CL4230,Rolle,local,18-24,3,15.04,yes,4,yes
CL4231,Lausanne-Gare,local,25-34,2,19.04,yes,6,yes
CL4232,Rolle,commuter,35-49,5,10.94,no,6,yes
CL4233,Vevey,local,35-49,4,18.68,no,5,no
CL4234,Geneve-Eaux-Vives,local,50-64,2,15.89,yes,6,yes
CL4235,Rolle,local,65+,7,12.9,no,3,no
CL4236,Nyon,student,65+,1,9.9,no,3,no
CL4237,Vevey,local,18-24,4,17.11,yes,7,no
CL4238,Morges,local,25-34,2,14.97,no,4,no
CL4239,Renens,commuter,18-24,6,13.93,no,6,no
CL4240,Montreux,local,50-64,4,16.55,no,5,yes
CL4241,Lausanne-Flon,local,50-64,6,15.53,no,5,yes
CL4242,Lausanne-Gare,tourist,65+,13,22.27,no,6,no
CL4243,Gland,commuter,50-64,10,14.05,no,4,no
CL4244,Morges,student,18-24,5,11.92,no,4,no
CL4245,Nyon,local,25-34,4,11.42,no,4,no
CL4246,Geneve-Eaux-Vives,commuter,50-64,4,16.19,no,6,no
CL4247,Montreux,commuter,65+,2,11.76,yes,6,yes
CL4248,Yverdon,commuter,50-64,2,13.67,no,4,no
CL4249,Montreux,student,18-24,2,12.5,no,7,yes
CL4250,Geneve-Eaux-Vives,tourist,18-24,7,20.25,yes,5,yes
CL4251,Morges,local,65+,5,16.23,no,5,no
CL4252,Geneve-Cornavin,student,25-34,3,10.95,no,5,no
CL4253,Yverdon,local,35-49,5,15.82,no,6,no
CL4254,Lausanne-Flon,tourist,65+,3,20.52,no,4,no
CL4255,Rolle,student,25-34,3,8.13,yes,6,yes
CL4256,Lausanne-Gare,tourist,18-24,2,17.54,no,5,no
CL4257,Nyon,student,35-49,2,7.65,no,4,yes
CL4258,Nyon,tourist,65+,3,23.02,no,5,yes
CL4259,Renens,commuter,18-24,6,7.94,no,7,no
CL4260,Geneve-Eaux-Vives,local,18-24,6,14.62,yes,6,no
CL4261,Lausanne-Flon,commuter,25-34,5,11.37,yes,5,no
CL4262,Geneve-Cornavin,tourist,25-34,3,18.65,no,5,no
CL4263,Montreux,student,65+,6,12.53,no,4,no
CL4264,Renens,commuter,35-49,6,13.64,yes,6,yes
CL4265,Morges,student,35-49,6,9.64,no,4,no
CL4266,Gland,local,35-49,2,16.94,no,4,yes
CL4267,Nyon,student,35-49,8,11.58,no,4,no
CL4268,Lausanne-Gare,local,18-24,1,13.25,no,6,no
CL4269,Morges,commuter,18-24,5,14.0,yes,6,yes
CL4270,Yverdon,local,50-64,7,19.56,yes,6,yes
CL4271,Nyon,student,18-24,1,10.06,yes,5,yes
CL4272,Rolle,tourist,35-49,3,22.18,yes,5,no
CL4273,Nyon,student,50-64,3,15.47,no,5,yes
CL4274,Geneve-Cornavin,student,65+,4,8.43,no,6,no
CL4275,Nyon,tourist,18-24,13,21.28,no,6,yes
CL4276,Lausanne-Gare,local,35-49,7,17.25,no,5,no
CL4277,Rolle,local,50-64,7,21.41,yes,5,no
CL4278,Renens,commuter,35-49,10,16.01,no,7,no
CL4279,Geneve-Cornavin,commuter,35-49,3,12.5,yes,6,no
CL4280,Morges,local,25-34,6,12.5,no,7,no
CL4281,Renens,local,35-49,4,17.27,yes,5,no
CL4282,Nyon,local,18-24,6,21.31,yes,7,yes
CL4283,Geneve-Cornavin,commuter,35-49,4,14.89,yes,6,yes
CL4284,Yverdon,student,18-24,6,8.97,no,5,no
CL4285,Lausanne-Gare,local,65+,4,17.51,no,7,no
CL4286,Lausanne-Gare,commuter,18-24,2,12.96,yes,6,yes
CL4287,Lausanne-Gare,local,18-24,5,23.31,yes,6,yes
CL4288,Geneve-Cornavin,local,35-49,9,17.38,no,6,yes
CL4289,Geneve-Eaux-Vives,tourist,50-64,6,17.13,no,6,yes
CL4290,Geneve-Eaux-Vives,commuter,35-49,10,16.51,no,7,no
CL4291,Lausanne-Flon,commuter,65+,3,14.77,no,6,no
CL4292,Geneve-Eaux-Vives,student,25-34,7,12.1,no,6,no
CL4293,Lausanne-Gare,student,35-49,3,11.43,no,5,no
CL4294,Morges,commuter,18-24,1,8.07,no,7,no
CL4295,Gland,commuter,35-49,4,11.85,no,6,no
CL4296,Geneve-Eaux-Vives,student,25-34,5,9.47,no,6,no
CL4297,Lausanne-Flon,student,50-64,3,13.28,no,5,no
CL4298,Geneve-Eaux-Vives,student,35-49,12,14.94,no,4,no
CL4299,Morges,local,50-64,8,19.14,yes,5,no
CL4300,Morges,local,25-34,3,15.6,yes,5,no
CL4301,Nyon,student,18-24,2,12.78,yes,6,yes
CL4302,Geneve-Cornavin,commuter,65+,4,18.15,yes,5,no
CL4303,Lausanne-Gare,student,35-49,13,13.74,no,4,no
CL4304,Lausanne-Flon,commuter,65+,5,15.65,no,5,no
CL4305,Morges,student,18-24,7,13.6,yes,5,no
CL4306,Lausanne-Flon,tourist,65+,3,22.56,no,5,no
CL4307,Montreux,student,25-34,2,7.33,no,6,yes
CL4308,Geneve-Cornavin,student,18-24,6,14.79,no,4,no
CL4309,Geneve-Eaux-Vives,tourist,35-49,8,20.39,no,4,no
CL4310,Geneve-Eaux-Vives,tourist,18-24,9,18.04,no,5,no
CL4311,Rolle,student,65+,6,11.19,no,5,no
CL4312,Lausanne-Gare,local,25-34,12,16.69,no,7,no
CL4313,Renens,commuter,18-24,3,12.66,yes,5,yes
CL4314,Montreux,local,50-64,6,16.23,yes,7,yes
CL4315,Lausanne-Flon,commuter,25-34,11,14.85,no,6,yes
CL4316,Nyon,student,65+,3,8.97,no,6,no
CL4317,Gland,local,65+,6,14.84,no,5,no
CL4318,Lausanne-Flon,local,25-34,9,19.89,yes,5,yes
CL4319,Lausanne-Gare,local,35-49,3,16.57,no,6,no
CL4320,Yverdon,tourist,50-64,9,17.66,no,7,no
CL4321,Nyon,commuter,35-49,13,12.77,no,4,no
CL4322,Renens,student,50-64,3,14.79,yes,7,yes
CL4323,Yverdon,tourist,35-49,15,14.7,no,6,no
CL4324,Lausanne-Flon,local,25-34,4,17.62,yes,5,yes
CL4325,Montreux,local,18-24,4,16.47,no,6,no
CL4326,Yverdon,local,18-24,10,21.8,no,7,no
CL4327,Rolle,commuter,25-34,4,13.35,yes,7,yes
CL4328,Renens,local,65+,10,18.62,no,5,no
CL4329,Nyon,tourist,18-24,7,18.9,no,3,yes
CL4330,Montreux,commuter,50-64,8,13.69,no,5,no
CL4331,Yverdon,student,65+,4,9.16,no,5,no
CL4332,Rolle,student,65+,2,13.48,yes,5,yes
CL4333,Nyon,tourist,18-24,7,20.52,yes,7,yes
CL4334,Yverdon,commuter,25-34,11,15.62,yes,6,yes
CL4335,Rolle,student,65+,15,15.48,no,5,no
CL4336,Renens,local,50-64,6,14.59,yes,7,yes
CL4337,Rolle,student,65+,3,7.17,no,5,no
CL4338,Yverdon,local,18-24,3,13.91,no,6,no
CL4339,Yverdon,commuter,25-34,3,14.96,no,7,no
CL4340,Morges,local,18-24,11,14.73,yes,4,yes
CL4341,Morges,commuter,50-64,2,12.96,yes,3,no
CL4342,Geneve-Cornavin,commuter,18-24,3,12.95,no,4,no
CL4343,Geneve-Eaux-Vives,local,35-49,6,13.12,no,3,yes
CL4344,Renens,local,25-34,9,17.49,no,6,no
CL4345,Geneve-Eaux-Vives,commuter,65+,3,12.56,yes,5,yes
CL4346,Geneve-Cornavin,commuter,50-64,5,12.74,no,6,no
CL4347,Nyon,commuter,65+,6,17.12,yes,5,yes
CL4348,Nyon,local,65+,10,15.54,no,5,no
CL4349,Yverdon,commuter,25-34,3,8.53,no,5,no
CL4350,Montreux,commuter,25-34,3,15.03,no,4,no
CL4351,Lausanne-Gare,commuter,25-34,8,14.76,yes,5,yes
CL4352,Geneve-Cornavin,local,25-34,12,20.93,no,7,no
CL4353,Montreux,commuter,18-24,7,11.99,yes,6,yes
CL4354,Rolle,local,50-64,9,13.89,no,6,no
CL4355,Geneve-Cornavin,commuter,18-24,8,9.95,no,6,yes
CL4356,Geneve-Eaux-Vives,tourist,25-34,3,16.3,no,5,no
CL4357,Morges,local,50-64,3,21.5,no,4,yes
CL4358,Yverdon,commuter,65+,5,18.7,yes,4,no
CL4359,Vevey,commuter,25-34,6,14.23,no,5,no
CL4360,Lausanne-Gare,student,18-24,4,8.62,no,6,no
CL4361,Montreux,tourist,18-24,5,17.78,no,2,yes
CL4362,Geneve-Cornavin,commuter,50-64,6,15.96,yes,6,yes
CL4363,Lausanne-Flon,local,25-34,2,8.88,no,5,no
CL4364,Nyon,tourist,18-24,9,19.92,no,5,no
CL4365,Morges,local,18-24,5,15.72,no,5,no
CL4366,Renens,local,18-24,6,14.53,no,7,no
CL4367,Lausanne-Flon,local,65+,3,16.46,no,5,no
CL4368,Morges,student,65+,1,12.8,no,5,no
CL4369,Morges,commuter,50-64,4,13.56,no,7,no
CL4370,Nyon,student,50-64,15,10.93,no,5,yes
CL4371,Lausanne-Flon,local,35-49,3,15.87,no,6,no
CL4372,Lausanne-Gare,local,35-49,1,16.97,yes,4,yes
CL4373,Gland,student,35-49,3,12.18,no,7,no
CL4374,Geneve-Cornavin,commuter,18-24,5,14.27,yes,4,yes
CL4375,Montreux,tourist,35-49,6,20.08,yes,7,yes
CL4376,Geneve-Eaux-Vives,local,50-64,15,22.39,yes,6,yes
CL4377,Gland,local,35-49,4,16.57,no,6,yes
CL4378,Geneve-Eaux-Vives,commuter,50-64,2,16.9,yes,7,no
CL4379,Morges,student,65+,3,15.12,yes,5,yes
CL4380,Morges,tourist,18-24,2,18.29,no,4,yes
CL4381,Lausanne-Flon,local,50-64,2,21.67,yes,6,yes
CL4382,Lausanne-Gare,student,50-64,6,8.48,yes,7,yes
CL4383,Vevey,tourist,18-24,11,22.87,no,5,no
CL4384,Geneve-Cornavin,student,35-49,5,11.81,no,4,yes
CL4385,Morges,commuter,65+,8,17.49,no,5,no
CL4386,Geneve-Eaux-Vives,commuter,50-64,5,12.29,no,6,no
CL4387,Gland,local,35-49,2,20.62,no,6,no
CL4388,Lausanne-Gare,student,35-49,4,11.59,no,7,no
CL4389,Vevey,student,35-49,3,8.76,yes,7,yes
CL4390,Montreux,commuter,50-64,8,13.58,no,6,yes
CL4391,Geneve-Cornavin,tourist,25-34,1,16.25,no,4,no
CL4392,Rolle,commuter,18-24,5,15.81,yes,5,no
CL4393,Geneve-Cornavin,student,18-24,4,11.1,no,4,no
CL4394,Lausanne-Gare,local,35-49,3,18.42,no,5,no
CL4395,Vevey,student,65+,7,11.52,no,7,no
CL4396,Nyon,student,18-24,2,7.77,no,4,yes
CL4397,Rolle,commuter,35-49,6,15.35,yes,5,yes
CL4398,Lausanne-Gare,tourist,18-24,5,16.49,no,3,no
CL4399,Yverdon,commuter,35-49,2,11.5,no,2,no
CL4400,Rolle,student,35-49,11,10.54,yes,5,no
CL4401,Rolle,student,18-24,4,15.69,no,5,no
CL4402,Rolle,tourist,18-24,7,19.65,no,6,no
CL4403,Geneve-Eaux-Vives,commuter,25-34,5,15.58,no,3,no
CL4404,Montreux,student,50-64,7,14.43,no,6,no
CL4405,Morges,tourist,18-24,2,15.06,yes,4,yes
CL4406,Yverdon,commuter,25-34,4,15.87,yes,4,yes
CL4407,Geneve-Cornavin,student,50-64,5,14.91,no,3,yes
CL4408,Lausanne-Flon,tourist,25-34,3,17.04,no,7,no
CL4409,Morges,local,50-64,11,15.84,no,5,no
CL4410,Renens,commuter,50-64,1,16.65,yes,5,yes
CL4411,Geneve-Eaux-Vives,student,50-64,4,9.06,no,6,yes
CL4412,Vevey,local,18-24,3,13.7,no,6,yes
CL4413,Renens,commuter,50-64,5,12.11,yes,4,no
CL4414,Yverdon,student,25-34,3,9.85,no,5,no
CL4415,Yverdon,commuter,35-49,10,10.71,yes,4,no
CL4416,Renens,local,50-64,3,18.25,yes,4,no
CL4417,Nyon,local,50-64,4,14.97,no,6,yes
CL4418,Rolle,commuter,18-24,9,12.8,yes,5,yes
CL4419,Nyon,commuter,25-34,4,16.88,yes,5,yes
CL4420,Gland,tourist,50-64,7,16.39,no,5,no
CL4421,Gland,tourist,35-49,2,15.21,no,5,no
CL4422,Morges,commuter,50-64,7,8.65,no,7,no
CL4423,Morges,commuter,25-34,4,11.85,yes,5,no
CL4424,Renens,commuter,18-24,17,11.37,no,5,no
CL4425,Yverdon,local,50-64,3,13.46,no,5,no
CL4426,Vevey,local,50-64,21,20.12,no,6,no
CL4427,Vevey,commuter,50-64,4,15.77,no,5,yes
CL4428,Renens,local,25-34,2,18.64,no,5,yes
CL4429,Lausanne-Gare,local,65+,4,15.52,no,7,yes
CL4430,Lausanne-Gare,local,25-34,3,18.03,no,5,no
CL4431,Montreux,commuter,18-24,2,13.12,yes,4,no
CL4432,Yverdon,commuter,50-64,10,17.12,no,5,no
CL4433,Lausanne-Gare,commuter,65+,3,18.25,yes,6,yes
CL4434,Renens,commuter,50-64,6,14.06,no,7,no
CL4435,Nyon,commuter,25-34,10,15.29,yes,5,yes
CL4436,Morges,commuter,25-34,8,9.17,no,4,no
CL4437,Morges,commuter,35-49,3,9.58,no,6,no
CL4438,Lausanne-Gare,commuter,25-34,15,14.89,no,5,no
CL4439,Vevey,local,65+,7,17.47,yes,6,no
CL4440,Lausanne-Flon,local,35-49,7,15.09,no,4,yes
CL4441,Geneve-Eaux-Vives,local,25-34,5,18.09,no,6,yes
CL4442,Rolle,local,18-24,4,14.04,no,5,no
CL4443,Renens,commuter,35-49,6,12.64,yes,5,yes
CL4444,Renens,tourist,65+,4,20.58,no,4,no
CL4445,Lausanne-Gare,commuter,18-24,5,14.37,yes,6,yes
CL4446,Morges,tourist,50-64,2,21.39,no,5,no
CL4447,Morges,commuter,25-34,9,14.52,yes,5,yes
CL4448,Gland,local,65+,3,11.72,no,4,no
CL4449,Montreux,local,35-49,7,17.53,no,6,no
CL4450,Renens,commuter,50-64,6,11.07,no,4,no
CL4451,Montreux,student,65+,3,5.88,no,2,yes
CL4452,Gland,tourist,35-49,5,19.27,no,4,no
CL4453,Rolle,student,35-49,3,11.45,no,5,no
CL4454,Nyon,local,35-49,10,20.72,no,5,no
CL4455,Renens,commuter,35-49,3,15.61,yes,7,no
CL4456,Rolle,tourist,25-34,2,18.77,no,7,no
CL4457,Geneve-Eaux-Vives,commuter,25-34,12,12.54,yes,6,no
CL4458,Montreux,commuter,65+,5,14.29,yes,7,yes
CL4459,Montreux,local,35-49,4,15.8,no,4,no
CL4460,Lausanne-Gare,commuter,25-34,7,13.89,yes,4,yes
CL4461,Vevey,local,35-49,13,18.83,no,5,no
CL4462,Lausanne-Gare,commuter,65+,7,14.39,yes,5,no
CL4463,Rolle,tourist,35-49,4,17.12,no,6,no
CL4464,Rolle,local,18-24,8,18.36,no,5,no
CL4465,Yverdon,student,50-64,5,12.59,yes,7,no
CL4466,Morges,student,25-34,14,13.93,yes,5,yes
CL4467,Montreux,local,35-49,3,19.66,yes,7,yes
CL4468,Nyon,local,50-64,2,19.39,no,7,yes
CL4469,Lausanne-Flon,commuter,25-34,7,10.0,no,4,no
CL4470,Lausanne-Flon,student,25-34,6,7.95,yes,5,yes
CL4471,Vevey,local,50-64,5,14.65,yes,6,no
CL4472,Montreux,local,35-49,4,17.03,yes,7,yes
CL4473,Yverdon,commuter,50-64,12,18.18,no,3,no
CL4474,Geneve-Eaux-Vives,commuter,35-49,2,17.51,yes,6,no
CL4475,Lausanne-Gare,commuter,25-34,29,19.8,yes,6,no
CL4476,Yverdon,student,50-64,4,10.86,no,6,yes
CL4477,Lausanne-Gare,commuter,35-49,2,13.66,no,5,no
CL4478,Lausanne-Gare,commuter,25-34,5,15.52,no,6,no
CL4479,Yverdon,commuter,18-24,6,13.2,yes,7,yes
CL4480,Montreux,local,35-49,4,15.51,no,6,no
CL4481,Renens,student,65+,3,10.31,yes,6,no
CL4482,Rolle,tourist,25-34,7,19.72,yes,5,yes
CL4483,Renens,local,18-24,4,21.23,yes,5,yes
CL4484,Morges,commuter,18-24,7,11.79,yes,5,yes
CL4485,Vevey,local,25-34,7,19.86,yes,5,no
CL4486,Geneve-Cornavin,student,25-34,8,16.23,no,5,no
CL4487,Geneve-Cornavin,student,50-64,6,11.43,no,6,no
CL4488,Vevey,student,50-64,5,13.84,yes,5,no
CL4489,Geneve-Cornavin,local,50-64,12,18.05,yes,6,yes
CL4490,Lausanne-Gare,commuter,50-64,4,14.41,no,6,yes
CL4491,Lausanne-Gare,commuter,18-24,6,13.89,no,7,no
CL4492,Rolle,commuter,25-34,7,15.63,no,5,yes
CL4493,Lausanne-Gare,student,18-24,4,14.84,no,5,no
CL4494,Vevey,commuter,65+,7,10.26,yes,7,yes
CL4495,Morges,local,35-49,4,22.64,yes,6,yes
CL4496,Rolle,commuter,50-64,5,15.99,no,4,no
CL4497,Morges,local,35-49,4,18.21,no,5,no
CL4498,Lausanne-Flon,local,35-49,4,14.31,yes,6,no
CL4499,Lausanne-Gare,commuter,35-49,5,14.32,no,4,no
CL4500,Geneve-Cornavin,student,18-24,6,13.85,no,3,no
CL4501,Lausanne-Gare,commuter,50-64,3,11.62,no,4,no
CL4502,Gland,student,65+,2,14.28,yes,7,yes
CL4503,Vevey,commuter,18-24,7,17.36,yes,5,yes
CL4504,Gland,tourist,50-64,7,21.71,no,7,yes
CL4505,Gland,commuter,65+,1,14.96,no,7,no
CL4506,Gland,local,50-64,4,19.21,no,6,no
CL4507,Geneve-Cornavin,commuter,50-64,5,11.49,no,5,no
CL4508,Rolle,commuter,25-34,12,15.85,no,6,no
CL4509,Gland,local,50-64,4,13.73,no,7,no
CL4510,Geneve-Cornavin,commuter,50-64,10,20.26,yes,5,no
CL4511,Renens,student,50-64,3,10.85,yes,6,no
CL4512,Lausanne-Gare,local,18-24,19,19.74,yes,6,no
CL4513,Yverdon,local,35-49,4,15.79,no,4,no
CL4514,Gland,local,25-34,1,13.36,no,4,yes
CL4515,Montreux,student,25-34,4,7.98,yes,7,no
CL4516,Morges,local,65+,6,19.01,no,5,no
CL4517,Montreux,student,50-64,5,11.42,no,7,no
CL4518,Geneve-Cornavin,tourist,35-49,1,20.46,no,6,yes
CL4519,Montreux,tourist,50-64,4,19.27,no,5,no
