txn_id,ts_utc,user_id,amount_vnd,merchant_id,merchant_cat,channel,device_id,device_os,is_new_device,ip_country,province,account_age_days,txn_count_24h,amount_avg_30d,status
TXN-2015556,2023-08-05 05:58:42,U581436,151000,M025956,,qr,,,,VN,Hải Phòng,212,2,246569,completed
TXN-2000375,2023-08-05 08:35:09,U508046,194000,M022977,food_bev,qr,,,,VN,An Giang,1969,2,141047,completed
TXN-2024228,2023-08-05 12:02:01,U916702,560000,M017050,entertainment,qr,,,,VN,Thanh Hóa,778,5,925534,completed
TXN-2023368,2023-08-05 12:46:07,U856824,798000,M027021,travel,p2p,,,,VN,Đà Nẵng,2182,1,1073411,completed
TXN-2019341,2023-08-05 13:34:33,U821252,789000,M007126,E-Commerce,p2p,,,,VN,Nghệ An,2054,2,840816,completed
TXN-2023581,2023-08-06 01:27:39,U999844,26000,M028927,ECOM,qr,,,,VN,Hà Nội,687,1,37124,completed
TXN-2023105,2023-08-06 01:31:41,U279774,224000,M007328,grocery,topup,,,,VN,Lâm Đồng,1279,6,146259,completed
TXN-2013357,2023-08-06 03:05:42,U437824,21000,M012050,bill_payment,topup,,,,VN,Hải Phòng,986,5,17527,completed
TXN-2003375,2023-08-06 07:09:50,U582082,247000,M010996,ECOM,topup,,,,VN,Thanh Hóa,2008,6,186861,completed
TXN-2017523,2023-08-06 12:50:36,U164443,12426000,M000054,TRANSPORT,p2p,,,,VN,Đồng Nai,761,2,15394254,completed
TXN-2007395,2023-08-07 02:03:39,U399426,22000,M025128,Food & Beverage,qr,,,,VN,Hồ Chí Minh,707,4,37961,completed
TXN-2010565,2023-08-07 03:00:15,U230186,10000,M028492,E-Commerce,qr,,,,VN,Hồ Chí Minh,781,7,15000,completed
TXN-2023684,2023-08-07 04:13:03,U159213,152000,M009177,Grocery,topup,,,,VN,Hà Nội,1003,8,275124,completed
TXN-2010961,2023-08-07 07:46:47,U619472,5948000,M020077,Grocery,ecom,,,,VN,Bình Dương,718,8,11241758,completed
TXN-2015322,2023-08-07 10:21:34,U450179,1890000,M026269,grocery,bill,,,,VN,Thanh Hóa,1982,1,2027827,completed
TXN-2015566,2023-08-07 10:57:29,U194195,2824000,M014716,ecommerce,p2p,,,,VN,Hồ Chí Minh,1794,6,5035494,completed
TXN-2018902,2023-08-07 11:17:44,U178155,680000,M000760,fnb,ecom,,,,VN,Hồ Chí Minh,2347,7,1233373,completed
TXN-2016952,2023-08-07 16:11:42,U352513,2071000,M020682,FOOD_BEV,ecom,,,,VN,Thanh Hóa,1213,1,3169385,completed
TXN-2019468,2023-08-08 04:40:32,U890562,1318000,M025410,food and beverage,bill,,,,VN,Hồ Chí Minh,978,2,893839,completed
TXN-2000804,2023-08-08 05:48:27,U971009,10000,M023505,Grocery,qr,,,,VN,Hồ Chí Minh,509,7,15000,completed
TXN-2017412,2023-08-08 07:05:37,U680035,813000,M017253,Grocery,ecom,,,,VN,Cần Thơ,1696,4,1403821,completed
TXN-2003155,2023-08-08 08:19:24,U429221,2078000,M021882,grocery,ecom,,,,VN,Hồ Chí Minh,2231,8,3758920,completed
TXN-2006730,2023-08-08 09:19:36,U366764,20000,M016186,health,qr,,,,VN,Hà Nội,1910,6,26164,completed
TXN-2002733,2023-08-08 11:35:23,U596347,208000,M017469,ECOM,qr,,,,VN,Hải Phòng,158,2,331017,completed
TXN-2013332,2023-08-08 14:04:21,U674970,217000,M003438,E Commerce,qr,,,,VN,Hà Nội,2125,7,357493,completed
TXN-2008469,2023-08-08 22:01:19,U409995,131000,M018219,utilities,qr,,,,VN,Khánh Hòa,1156,3,215503,completed
TXN-2004420,2023-08-09 01:03:02,U639380,10441000,M013448,Entertainment,p2p,,,,VN,Cần Thơ,490,2,13161802,completed
TXN-2016599,2023-08-09 01:04:37,U940205,85000,M012352,ecommerce,qr,,,,VN,Nghệ An,2322,2,124575,completed
TXN-2001093,2023-08-09 07:11:34,U338100,951000,M004571,HEALTH,p2p,,,,VN,Hồ Chí Minh,1287,1,1736021,completed
TXN-2013828,2023-08-09 09:47:48,U418447,8892000,M021477,mobile_topup,p2p,,,,VN,Hà Nội,1994,7,14139830,completed
TXN-2004860,2023-08-09 10:50:12,U351359,4122000,M027911,transport,p2p,,,,VN,Hà Nội,1112,4,5553078,completed
TXN-2017158,2023-08-09 13:35:24,U840362,357000,M007791,,qr,,,,VN,Hồ Chí Minh,2316,4,418624,completed
TXN-2009322,2023-08-09 14:15:25,U788513,65000,M019416,entertainment,topup,,,,VN,Hà Nội,1415,3,66732,completed
TXN-2024241,2023-08-09 19:39:17,U217244,99000,M021237,,p2p,,,,VN,Hồ Chí Minh,2090,1,97109,completed
TXN-2002864,2023-08-10 00:29:10,U419070,88000,M021660,food and beverage,bill,,,,VN,Hồ Chí Minh,2009,1,140690,completed
TXN-2001542,2023-08-10 03:04:01,U706304,747000,M029667,,p2p,,,,VN,Hồ Chí Minh,582,7,957311,completed
TXN-2011380,2023-08-10 12:10:27,U913928,185000,M023621,TRANSPORT,topup,,,,VN,Cần Thơ,1345,5,266459,completed
TXN-2001376,2023-08-10 13:16:58,U285705,90000,M006986,ride_hailing,topup,,,,VN,Hồ Chí Minh,178,8,52924,completed
TXN-2022705,2023-08-10 13:22:41,U163790,520000,M010881,bill_payment,p2p,,,,VN,Bình Dương,357,4,734790,completed
TXN-2011886,2023-08-10 13:46:24,U817349,1004000,M009717,ENT,bill,,,,VN,Hồ Chí Minh,750,8,926279,completed
TXN-2011775,2023-08-11 03:52:54,U556054,374000,M011907,ride_hailing,bill,,,,VN,Đà Nẵng,1120,2,528730,completed
TXN-2011820,2023-08-11 07:57:51,U905068,166000,M019468,food_bev,qr,,,,VN,Hồ Chí Minh,2330,5,218260,completed
TXN-2023537,2023-08-11 09:39:30,U262251,522000,M000817,ecommerce,p2p,,,,VN,Khánh Hòa,821,7,455014,completed
TXN-2011369,2023-08-11 11:05:23,U435408,14000,M001510,Health,topup,,,,VN,Đồng Nai,2364,7,15000,completed
TXN-2016288,2023-08-12 00:45:35,U318242,2662000,M014172,ride_hailing,ecom,,,,VN,Hải Phòng,2046,4,2549779,completed
TXN-2000774,2023-08-12 09:33:18,U981243,40000,M008203,F&B,qr,,,,VN,Khánh Hòa,14,8,33535,completed
TXN-2007402,2023-08-12 15:54:53,U735602,642000,M029713,grocery,topup,,,,VN,Đà Nẵng,2207,4,446616,completed
TXN-2015714,2023-08-12 18:28:11,U876964,72000,M024287,food and beverage,qr,,,,VN,Hồ Chí Minh,96,1,103288,completed
TXN-2000953,2023-08-13 01:04:08,U118187,23000,M022060,HEALTH,qr,,,,VN,Hà Nội,2073,7,23947,completed
TXN-2013045,2023-08-13 05:03:10,U107751,431000,M027450,FOOD_BEV,qr,,,,VN,Hồ Chí Minh,2068,7,675003,completed
TXN-2008769,2023-08-13 11:07:41,U753786,-203000,M007250,E-Commerce,qr,,,,VN,Hồ Chí Minh,1651,1,149291,reversed
TXN-2016195,2023-08-13 11:26:36,U420743,416000,M009421,Food & Beverage,qr,,,,VN,Hà Nội,2071,4,492978,completed
TXN-2019037,2023-08-13 12:45:48,U373329,162000,M013980,fnb,qr,,,,VN,Cần Thơ,1616,3,130898,completed
TXN-2011446,2023-08-13 21:18:59,U216953,3811000,M003166,ECOM,p2p,,,,VN,Lâm Đồng,1217,6,4710506,completed
TXN-2019340,2023-08-13 21:34:01,U832518,146000,M022227,FOOD_BEV,qr,,,,VN,Nghệ An,2195,4,152930,completed
TXN-2002836,2023-08-14 00:20:03,U606375,72000,M008652,food_bev,qr,,,,VN,Hà Nội,1500,5,93111,completed
TXN-2003133,2023-08-14 01:01:24,U963428,36000,M011090,TRANSPORT,p2p,,,,VN,Thanh Hóa,915,2,29875,completed
TXN-2006776,2023-08-14 02:01:22,U946048,772000,M005986,health,ecom,,,,VN,Hà Nội,1877,2,456238,completed
TXN-2000450,2023-08-14 06:50:11,U889080,4174000,M020662,Entertainment,p2p,,,,VN,Hồ Chí Minh,1088,2,2369703,completed
TXN-2022277,2023-08-14 10:16:40,U878207,50000,M013112,bill_payment,qr,,,,VN,Hồ Chí Minh,1985,7,90377,completed
TXN-2011170,2023-08-14 11:58:11,U878207,434000,M017988,E-Commerce,bill,,,,VN,Hải Phòng,1111,6,325054,completed
TXN-2004946,2023-08-14 13:12:03,U140205,504000,M010826,bill_payment,topup,,,,VN,Hà Nội,1903,2,309511,completed
TXN-2018955,2023-08-15 02:09:24,U950497,51000,M025346,mobile_topup,topup,,,,VN,Thanh Hóa,1094,7,87743,completed
TXN-2011958,2023-08-15 03:09:34,U594373,173000,M015104,ride_hailing,bill,,,,VN,Hà Nội,1652,6,301639,completed
TXN-2021240,2023-08-15 04:40:22,U803200,1950000,M008398,grocery,bill,,,,VN,Đà Nẵng,1714,5,1765405,completed
TXN-2013257,2023-08-15 05:36:50,U791749,324000,M001148,ride_hailing,bill,,,,VN,An Giang,2294,1,416879,completed
TXN-2020573,2023-08-15 07:37:33,U396568,216000,M027203,TRANSPORT,p2p,,,,VN,Hải Phòng,1257,7,356321,completed
TXN-2005519,2023-08-15 09:09:55,U815955,1012000,M002858,Grocery,bill,,,,VN,Hồ Chí Minh,171,2,728757,completed
TXN-2020543,2023-08-15 11:14:05,U196836,93000,M015367,mobile_topup,qr,,,,VN,Thanh Hóa,1246,8,174662,completed
TXN-2008233,2023-08-15 11:29:53,U967199,94000,M023902,e_commerce,bill,,,,VN,Hồ Chí Minh,904,8,128715,completed
TXN-2005158,2023-08-15 11:57:47,U314854,3080000,M025453,e_commerce,p2p,,,,VN,Hồ Chí Minh,51,5,5292585,completed
TXN-2002821,2023-08-15 12:41:55,U708007,3132000,M029301,FOOD_BEV,p2p,,,,VN,Khánh Hòa,463,1,4035664,completed
TXN-2009504,2023-08-15 15:16:16,U295404,729000,M011615,telco,topup,,,,VN,Hồ Chí Minh,64,8,942505,declined
TXN-2004444,2023-08-16 02:27:18,U523628,3613000,M007574,utilities,bill,,,,VN,Hồ Chí Minh,809,5,4249115,completed
TXN-2005939,2023-08-16 02:48:05,U760446,1250000,M017909,fnb,bill,,,,VN,Hồ Chí Minh,1321,7,1766332,completed
TXN-2018167,2023-08-16 02:55:27,U764807,2288000,M020143,,p2p,,,,VN,Bình Dương,1783,6,1306314,completed
TXN-2014859,2023-08-16 03:57:22,U209351,3239000,M027779,Grocery,bill,,,,VN,Hồ Chí Minh,494,2,6108626,completed
TXN-2021967,2023-08-16 05:23:28,U163545,1005000,M028855,bill_payment,bill,,,,VN,Đà Nẵng,346,4,1697104,completed
TXN-2009164,2023-08-16 05:30:37,U871004,1432000,M024199,e_commerce,ecom,,,,VN,Hồ Chí Minh,771,1,1192739,completed
TXN-2010127,2023-08-16 07:49:52,U316036,184000,M009123,TRANSPORT,qr,,,,VN,Hải Phòng,564,3,336731,completed
TXN-2007142,2023-08-16 08:18:04,U839554,66000,M001213,telco,topup,,,,VN,Nghệ An,2020,2,64027,completed
TXN-2018135,2023-08-16 10:21:02,U231025,1805000,M006300,FOOD_BEV,p2p,,,,VN,Bình Dương,2107,3,1336258,completed
TXN-2013922,2023-08-16 10:45:38,U402697,822000,M006131,telco,qr,,,,VN,Hồ Chí Minh,1663,1,688823,completed
TXN-2019043,2023-08-16 11:49:32,U683243,943000,M014267,Food & Beverage,ecom,,,,VN,Hồ Chí Minh,964,1,1146517,completed
TXN-2023786,2023-08-16 11:54:32,U985867,3686000,M008036,ECOM,p2p,,,,VN,Hải Phòng,1319,2,5079010,completed
TXN-2019559,2023-08-17 01:20:16,U136814,1320000,M028646,transport,ecom,,,,VN,Hồ Chí Minh,468,2,2126929,completed
TXN-2007769,2023-08-17 02:11:34,U569923,317000,M026536,mobile_topup,qr,,,,VN,Hà Nội,1486,6,325045,completed
TXN-2018859,2023-08-17 02:19:42,U900756,120000,M010887,transport,p2p,,,,VN,Hồ Chí Minh,781,2,214530,completed
TXN-2024440,2023-08-17 03:00:21,U478183,10000,M001480,Food & Beverage,qr,,,,VN,Hồ Chí Minh,917,3,15000,completed
TXN-2006497,2023-08-17 03:47:04,U120843,6265000,M004619,groceries,p2p,,,,VN,Nghệ An,493,5,7961514,completed
TXN-2008915,2023-08-17 03:52:08,U659871,36000,M016839,Grocery,qr,,,,VN,An Giang,406,1,41152,completed
TXN-2002678,2023-08-17 06:36:43,U557449,86000,M028994,Grocery,bill,,,,VN,Hồ Chí Minh,368,1,154980,completed
TXN-2020450,2023-08-17 09:40:21,U165208,4640000,M008564,mobile_topup,p2p,,,,VN,Hà Nội,108,4,5077109,completed
TXN-2017717,2023-08-17 14:07:57,U850734,11540000,M000913,Grocery,ecom,,,,VN,Thanh Hóa,1383,6,20652666,completed
TXN-2012430,2023-08-17 14:28:48,U285705,441000,M018633,groceries,qr,,,,VN,Bình Dương,249,6,327594,completed
TXN-2002323,2023-08-17 20:39:29,U714836,4624000,M006416,mobile_topup,p2p,,,,VN,Hồ Chí Minh,1562,7,7007506,completed
TXN-2023203,2023-08-17 22:32:53,U786942,332000,M016323,,qr,,,,VN,Hà Nội,2303,6,348769,completed
TXN-2012799,2023-08-18 00:24:10,U925547,3669000,M003610,UTIL,p2p,,,,VN,Cần Thơ,1769,5,2182387,completed
TXN-2008791,2023-08-18 01:09:34,U952707,1231000,M004140,transport,p2p,,,,VN,Bình Dương,520,7,698835,completed
TXN-2020342,2023-08-18 01:34:21,U479062,373000,M000699,E-Commerce,bill,,,,VN,Đồng Nai,393,3,368183,completed
TXN-2014587,2023-08-18 01:52:43,U780351,92000,M013209,ECOM,qr,,,,VN,Hồ Chí Minh,1769,6,97026,completed
TXN-2016808,2023-08-18 03:17:51,U589029,39000,M009148,groceries,qr,,,,VN,Hà Nội,155,1,43499,completed
TXN-2015766,2023-08-18 09:06:38,U903264,12392000,M002442,E Commerce,p2p,,,,VN,Hồ Chí Minh,1854,5,16113037,completed
TXN-2009618,2023-08-18 10:12:21,U212506,722000,M024330,e_commerce,bill,,,,VN,Hà Nội,1320,1,858932,completed
TXN-2018758,2023-08-18 11:51:25,U454613,2415000,M022844,FOOD_BEV,p2p,,,,VN,Hà Nội,1229,7,3069144,completed
TXN-2009424,2023-08-18 12:41:43,U171371,1238000,M001886,EDU,p2p,,,,VN,Bình Dương,367,1,1427863,completed
TXN-2013080,2023-08-18 13:13:39,U200499,1662000,M007247,e_commerce,qr,,,,VN,Hà Nội,314,8,1128867,completed
TXN-2000712,2023-08-19 00:28:41,U742282,201000,M009536,E Commerce,topup,,,,VN,Hà Nội,2269,5,208651,completed
TXN-2009362,2023-08-19 01:55:49,U914608,491000,M000701,Grocery,qr,,,,VN,Đà Nẵng,519,3,918765,completed
TXN-2001374,2023-08-19 02:21:10,U791554,89000,M003541,ride_hailing,qr,,,,VN,Hồ Chí Minh,1530,6,80416,completed
TXN-2004247,2023-08-19 03:23:55,U259613,53000,M009227,E Commerce,qr,,,,VN,An Giang,1884,8,82282,completed
TXN-2012294,2023-08-19 05:15:52,U433233,916000,M014225,Health,ecom,,,,VN,Khánh Hòa,42,5,1531160,completed
TXN-2016001,2023-08-19 06:58:51,U999151,1335000,M018027,fnb,qr,,,,VN,Hồ Chí Minh,97,5,1526515,completed
TXN-2020055,2023-08-19 07:02:12,U636516,684000,M002969,ride_hailing,p2p,,,,VN,Cần Thơ,1299,7,907712,completed
TXN-2023304,2023-08-19 07:37:57,U285863,539000,M029277,FOOD_BEV,qr,,,,VN,Hà Nội,1854,8,918238,completed
TXN-2012314,2023-08-19 11:59:26,U850842,5510000,M011181,HEALTH,p2p,,,,VN,Cần Thơ,1097,7,4527554,completed
TXN-2022045,2023-08-19 11:59:35,U387128,469000,M015085,Grocery,qr,,,,VN,Khánh Hòa,1715,1,820213,completed
TXN-2004466,2023-08-19 12:03:44,U608863,57000,M017791,health,qr,,,,VN,Hà Nội,1722,2,87322,completed
TXN-2001885,2023-08-19 15:17:52,U937280,565000,M010871,TRANSPORT,qr,,,,VN,Hồ Chí Minh,2174,4,726569,completed
TXN-2000148,2023-08-19 22:01:35,U286011,143000,M002937,TELCO,p2p,,,,VN,Hà Nội,630,7,206508,completed
TXN-2019712,2023-08-20 00:46:00,U549141,30693000,M025752,food and beverage,p2p,,,,VN,Hải Phòng,2293,7,54236832,completed
TXN-2019241,2023-08-20 03:32:35,U124419,835000,M027011,Utilities,ecom,,,,VN,Cần Thơ,289,2,1246542,completed
TXN-2006481,2023-08-20 05:02:33,U525914,192000,M029739,education,qr,,,,VN,Hải Phòng,335,1,320540,completed
TXN-2008760,2023-08-20 10:14:48,U365311,150000,M012224,,qr,,,,VN,Hồ Chí Minh,2233,5,131200,completed
TXN-2013810,2023-08-20 10:50:35,U735013,804000,M004747,ECOM,qr,,,,VN,Đồng Nai,1168,3,1121416,completed
TXN-2004991,2023-08-20 20:43:41,U772504,394000,M008592,Utilities,topup,,,,VN,Hải Phòng,798,7,219573,completed
TXN-2001205,2023-08-21 03:25:24,U650594,294000,M005911,GROCERY,qr,,,,VN,An Giang,2245,3,442789,completed
TXN-2020500,2023-08-21 03:28:42,U493245,573000,M022066,,qr,,,,VN,Hà Nội,634,3,426943,completed
TXN-2008270,2023-08-21 05:00:13,U130334,1821000,M008661,F&B,p2p,,,,US,Bình Dương,90,3,2312451,completed
TXN-2003231,2023-08-21 06:05:55,U633466,16000,M015204,utilities,bill,,,,VN,Hồ Chí Minh,1241,5,27734,completed
TXN-2009919,2023-08-21 06:42:07,U846670,95000,M019083,F&B,qr,,,,VN,Hà Nội,2361,3,172703,completed
TXN-2000642,2023-08-21 08:47:38,U117466,18000,M010645,,qr,,,,VN,Hà Nội,415,5,28868,completed
TXN-2007024,2023-08-21 10:37:08,U755617,137000,M000967,food and beverage,topup,,,,VN,Đà Nẵng,1377,2,177129,completed
TXN-2021517,2023-08-21 11:47:40,U364465,1190000,M005907,UTIL,qr,,,,VN,Cần Thơ,149,2,849341,completed
TXN-2012529,2023-08-21 14:00:07,U379239,36000,M000042,ecommerce,topup,,,,VN,Đà Nẵng,1785,2,31532,completed
TXN-2020569,2023-08-21 17:46:36,U173057,13148000,M010000,ECOM,topup,,,,VN,Cần Thơ,16,23,4459229,completed
TXN-2009610,2023-08-22 00:35:51,U678482,11379000,M001527,F&B,ecom,,,,VN,Hà Nội,1844,3,6315623,completed
TXN-2012950,2023-08-22 01:09:51,U923041,867000,M011878,mobile_topup,topup,,,,VN,Hồ Chí Minh,312,4,541263,completed
TXN-2012642,2023-08-22 07:22:35,U649444,292000,M020831,ride_hailing,qr,,,,VN,Hồ Chí Minh,812,5,238618,completed
TXN-2008377,2023-08-22 07:59:58,U719729,458000,M027137,food_bev,p2p,,,,VN,Hồ Chí Minh,1742,8,559140,completed
TXN-2019896,2023-08-22 13:49:16,U207493,241000,M020524,TELCO,qr,,,,VN,Thanh Hóa,1203,2,356432,completed
TXN-2012918,2023-08-22 13:51:29,U873130,85000,M013417,EDU,qr,,,,VN,Cần Thơ,1010,4,51601,completed
TXN-2017011,2023-08-22 14:26:49,U957241,218000,M016029,telco,topup,,,,VN,Hà Nội,262,6,275384,completed
TXN-2003177,2023-08-23 04:54:02,U855999,1417000,M007830,Grocery,p2p,,,,VN,Cần Thơ,1514,3,1810058,completed
TXN-2012809,2023-08-23 05:24:25,U567427,0,M029876,ECOM,bill,,,,VN,Hồ Chí Minh,1185,4,15000,completed
TXN-2016864,2023-08-23 06:35:38,U939396,204000,M025979,EDU,qr,,,,VN,Hồ Chí Minh,441,2,203156,completed
TXN-2024028,2023-08-23 06:46:17,U882313,483000,M000750,mobile_topup,qr,,,,VN,Hồ Chí Minh,986,7,691088,completed
TXN-2019028,2023-08-23 08:00:15,U946408,722000,M028883,utilities,qr,,,,VN,Hà Nội,683,7,1096313,completed
TXN-2004969,2023-08-23 10:50:40,U653603,8369000,M011992,Education,ecom,,,,VN,Hải Phòng,1135,8,7930538,completed
TXN-2010107,2023-08-23 11:25:20,U968748,18000,M021081,Utilities,topup,,,,VN,Hồ Chí Minh,1860,3,18713,completed
TXN-2015002,2023-08-23 12:29:23,U251679,334000,M014277,,topup,,,,VN,Hồ Chí Minh,1579,7,512553,completed
TXN-2012271,2023-08-23 14:46:56,U348524,20291000,M019388,Transport,p2p,,,,VN,Hồ Chí Minh,468,7,29380291,completed
TXN-2012168,2023-08-23 15:08:33,U830433,105000,M011389,Transport,qr,,,,VN,Hồ Chí Minh,1014,1,176673,completed
TXN-2004288,2023-08-23 17:07:31,U870392,1624000,M000334,transport,ecom,,,,VN,Hồ Chí Minh,1432,3,2939626,completed
TXN-2005248,2023-08-24 02:05:32,U238694,109000,M018786,HEALTH,topup,,,,VN,Hà Nội,1293,7,75986,completed
TXN-2013342,2023-08-24 02:42:51,U693962,2446000,M027808,fnb,p2p,,,,VN,Cần Thơ,1036,7,3580968,completed
TXN-2012141,2023-08-24 03:33:22,U955352,2798000,M017848,food and beverage,bill,,,,VN,Hồ Chí Minh,1640,5,4794833,completed
TXN-2012502,2023-08-24 03:47:21,U409185,58000,M012308,ECOM,qr,,,,VN,Nghệ An,442,6,73749,completed
TXN-2012687,2023-08-24 05:41:20,U939396,142000,M027433,food_bev,qr,,,,VN,Đồng Nai,130,3,196028,completed
TXN-2015963,2023-08-24 09:06:07,U784006,754000,M029421,TELCO,ecom,,,,VN,Bình Dương,1152,6,801005,completed
TXN-2008818,2023-08-24 09:44:13,U776322,146000,M017144,food and beverage,qr,,,,VN,Hà Nội,539,6,137268,completed
TXN-2020987,2023-08-24 10:57:40,U454613,142000,M022753,groceries,qr,,,,VN,Lâm Đồng,2077,6,201148,completed
TXN-2001133,2023-08-24 11:30:19,U133017,6826000,M004351,groceries,p2p,,,,VN,Hồ Chí Minh,2167,5,3965568,completed
TXN-2017310,2023-08-24 12:50:20,U410060,1683000,M026049,groceries,ecom,,,,VN,An Giang,1123,4,987378,completed
TXN-2008303,2023-08-25 01:45:22,U307055,243000,M019687,Education,topup,,,,VN,Lâm Đồng,2304,4,310878,completed
TXN-2003778,2023-08-25 08:11:04,U219526,1613000,M003984,TRANSPORT,topup,,,,VN,Hồ Chí Minh,1880,7,1323194,completed
TXN-2007198,2023-08-25 08:56:41,U996770,4577000,M007203,e_commerce,p2p,,,,VN,Bình Dương,1759,7,3256151,completed
TXN-2002574,2023-08-25 11:55:09,U632733,2438000,M004502,FOOD_BEV,bill,,,,VN,An Giang,1467,7,4268346,completed
TXN-2011136,2023-08-25 12:28:35,U543473,43000,M015747,bill_payment,topup,,,,VN,Hồ Chí Minh,1222,2,67103,completed
TXN-2022246,2023-08-25 15:05:49,U639380,74000,M001256,Food & Beverage,qr,,,,VN,Đà Nẵng,2109,6,71431,completed
TXN-2014976,2023-08-25 15:52:47,U124233,8119000,M013761,e_commerce,p2p,,,,VN,Bình Dương,1279,2,6599604,completed
TXN-2011712,2023-08-25 18:57:21,U854989,1596000,M000826,Food & Beverage,qr,,,,VN,Cần Thơ,2254,1,1939042,completed
TXN-2001419,2023-08-25 23:18:34,U914493,139000,M009522,Food & Beverage,qr,,,,VN,Hà Nội,309,5,146589,completed
TXN-2018692,2023-08-26 06:15:19,U668542,291000,M016191,Food & Beverage,qr,,,,VN,Bình Dương,1997,3,208167,completed
TXN-2024382,2023-08-26 06:52:14,U145892,90000,M005386,Food & Beverage,qr,,,,VN,Thanh Hóa,2059,3,95318,completed
TXN-2018001,2023-08-26 07:03:06,U193614,98000,M000826,UTIL,qr,,,,VN,Lâm Đồng,498,6,144293,completed
TXN-2015753,2023-08-26 07:10:18,U177737,56000,M013987,Food & Beverage,qr,,,,VN,An Giang,711,7,60262,completed
TXN-2022914,2023-08-26 11:41:46,U344827,187000,M028280,Transport,qr,,,,VN,Hà Nội,726,3,316696,completed
TXN-2011910,2023-08-26 19:18:34,U921238,5264000,M009858,,p2p,,,,VN,Đà Nẵng,195,1,9122560,declined
TXN-2014359,2023-08-27 04:13:51,U514375,4091000,M011736,TRANSPORT,p2p,,,,VN,Hồ Chí Minh,552,3,3879280,declined
TXN-2013965,2023-08-27 06:59:09,U450815,1967000,M028941,,p2p,,,,VN,Hồ Chí Minh,1871,8,2315928,completed
TXN-2014960,2023-08-27 10:57:09,U382328,11581000,M027246,food_bev,p2p,,,,TH,Hồ Chí Minh,996,8,7235660,completed
TXN-2016037,2023-08-27 12:28:10,U992930,47000,M014757,FOOD_BEV,topup,,,,VN,Hồ Chí Minh,1346,2,36169,completed
TXN-2009659,2023-08-27 13:52:56,U330010,288000,M000089,TRAVEL,qr,,,,VN,Hồ Chí Minh,1596,1,363817,completed
TXN-2016057,2023-08-27 14:25:16,U120672,514000,M015631,E Commerce,qr,,,,VN,Đà Nẵng,1298,4,699878,completed
TXN-2003964,2023-08-27 14:32:22,U389016,201000,M013492,FOOD_BEV,topup,,,,VN,Đồng Nai,115,4,278027,completed
TXN-2002827,2023-08-27 23:26:33,U165514,1909000,M014393,Food & Beverage,p2p,,,,VN,Hà Nội,555,7,3350827,completed
TXN-2017246,2023-08-27 23:46:02,U402560,148000,M029688,food_bev,qr,,,,VN,Hồ Chí Minh,1784,5,223595,completed
TXN-2019694,2023-08-28 01:35:21,U193614,2279000,M027613,food_bev,bill,,,,VN,Bình Dương,1106,4,2099765,completed
TXN-2018226,2023-08-28 03:43:11,U745601,5683000,M022582,Transport,ecom,,,,VN,Hồ Chí Minh,586,8,5879918,completed
