txn_id,label,fraud_type,labelled_by,labelled_at_ict,confidence
TXN-2010119,legit,,analyst_A,2025-06-13 22:56:50,medium
TXN-2003512,legit,,analyst_B,2025-06-13 23:32:41,low
TXN-2004042,legit,,analyst_B,2025-06-14 00:16:23,medium
TXN-2004974,legit,,analyst_A,2025-06-14 00:18:01,low
TXN-2002554,legit,,analyst_A,2025-06-14 04:42:23,low
TXN-2000484,legit,,analyst_B,2025-06-14 04:51:39,high
TXN-2022662,legit,,analyst_B,2025-06-14 07:30:21,high
TXN-2002501,legit,,analyst_A,2025-06-14 07:46:54,medium
TXN-2010596,legit,,analyst_A,2025-06-14 08:43:00,high
TXN-2022812,legit,,analyst_A,2025-06-14 13:11:10,medium
TXN-2007360,legit,,analyst_B,2025-06-14 20:37:48,high
TXN-2009268,legit,,analyst_A,2025-06-14 23:02:57,medium
TXN-2010727,legit,,analyst_A,2025-06-14 23:56:50,medium
TXN-2005143,legit,,analyst_A,2025-06-15 03:40:44,low
TXN-2010596,legit,,analyst_B,2025-06-15 10:43:00,medium
TXN-2007080,legit,,analyst_A,2025-06-15 11:22:12,medium
TXN-2017688,legit,,analyst_B,2025-06-15 12:43:03,low
TXN-2004590,legit,,analyst_B,2025-06-15 14:18:52,high
TXN-2008536,legit,,analyst_B,2025-06-15 15:03:12,medium
TXN-2001451,legit,,analyst_B,2025-06-15 16:04:37,medium
TXN-2006527,legit,,analyst_B,2025-06-15 16:26:48,medium
TXN-2020069,legit,,analyst_A,2025-06-15 22:21:48,medium
TXN-2009417,legit,,analyst_A,2025-06-16 02:53:45,medium
TXN-2018547,legit,,analyst_B,2025-06-16 03:32:05,low
TXN-2018407,legit,,analyst_A,2025-06-16 03:45:43,medium
TXN-2005556,legit,,analyst_B,2025-06-16 07:04:57,high
TXN-2004687,legit,,analyst_A,2025-06-16 08:21:55,medium
TXN-2004283,legit,,analyst_B,2025-06-16 08:40:58,low
TXN-2007255,legit,,analyst_A,2025-06-16 09:00:00,high
TXN-2001708,legit,,analyst_A,2025-06-16 09:06:52,high
TXN-2014056,legit,,analyst_A,2025-06-17 01:27:54,medium
TXN-2022968,legit,,analyst_A,2025-06-17 14:22:10,low
TXN-2014424,legit,,analyst_B,2025-06-17 15:46:44,medium
TXN-2002566,legit,,analyst_B,2025-06-17 21:44:13,medium
TXN-2004772,legit,,analyst_A,2025-06-17 22:14:00,medium
TXN-2020197,legit,,analyst_A,2025-06-18 00:21:50,medium
TXN-2014929,legit,,analyst_B,2025-06-18 01:29:13,medium
TXN-2011490,legit,,analyst_A,2025-06-18 04:05:14,high
TXN-2006440,legit,,analyst_B,2025-06-18 05:54:54,medium
TXN-2000059,legit,,analyst_A,2025-06-18 07:20:37,high
TXN-2017070,legit,,analyst_A,2025-06-18 08:53:40,medium
TXN-2014302,legit,,analyst_B,2025-06-18 09:57:45,medium
TXN-2012826,legit,,analyst_A,2025-06-18 15:39:10,medium
TXN-2023805,legit,,analyst_B,2025-06-18 16:32:53,medium
TXN-2018477,legit,,analyst_B,2025-06-18 18:29:14,low
TXN-2023691,legit,,analyst_A,2025-06-18 19:54:30,medium
TXN-2004590,legit,,analyst_A,2025-06-18 21:18:52,medium
TXN-2013031,legit,,analyst_B,2025-06-18 22:24:51,medium
TXN-2018076,legit,,analyst_A,2025-06-19 03:57:33,low
TXN-2017180,legit,,analyst_A,2025-06-19 05:23:03,high
TXN-2010518,legit,,analyst_A,2025-06-19 10:06:46,high
TXN-2021426,legit,,analyst_B,2025-06-19 11:26:53,high
TXN-2006254,legit,,analyst_A,2025-06-19 12:38:59,high
TXN-2024517,legit,,analyst_B,2025-06-19 13:56:38,high
TXN-2002300,legit,,analyst_B,2025-06-19 16:54:13,high
TXN-2002376,legit,,analyst_A,2025-06-19 17:30:21,medium
TXN-2006089,legit,,analyst_A,2025-06-19 17:53:17,medium
TXN-2001143,legit,,analyst_A,2025-06-19 21:49:31,low
TXN-2023276,legit,,analyst_A,2025-06-19 22:21:07,low
TXN-2016294,legit,,analyst_B,2025-06-20 00:37:56,low
TXN-2003211,legit,,analyst_A,2025-06-20 00:38:06,high
TXN-2008391,legit,,analyst_A,2025-06-20 05:03:35,low
TXN-2019662,legit,,analyst_B,2025-06-20 07:23:32,high
TXN-2011974,legit,,analyst_B,2025-06-20 08:21:51,high
TXN-2004725,legit,,analyst_B,2025-06-20 10:04:41,high
TXN-2005896,legit,,analyst_A,2025-06-20 14:19:04,medium
TXN-2002313,legit,,analyst_B,2025-06-20 14:51:32,high
TXN-2007556,legit,,analyst_B,2025-06-20 18:37:02,high
TXN-2010800,legit,,analyst_B,2025-06-20 20:56:39,high
TXN-2012764,legit,,analyst_B,2025-06-20 21:06:53,low
TXN-2021137,legit,,analyst_A,2025-06-20 21:51:35,high
TXN-2022414,fraud,social_engineering,analyst_A,2025-06-20 23:13:54,low
TXN-2004321,legit,,analyst_A,2025-06-21 01:23:35,low
TXN-2009791,legit,,analyst_B,2025-06-21 01:53:42,high
TXN-2012869,legit,,analyst_A,2025-06-21 02:40:26,high
TXN-2018440,legit,,analyst_A,2025-06-21 06:01:41,high
TXN-2002129,legit,,analyst_A,2025-06-21 06:10:17,high
TXN-2021269,legit,,analyst_A,2025-06-21 09:02:33,low
TXN-2004305,legit,,analyst_A,2025-06-21 09:46:14,low
TXN-2019016,legit,,analyst_A,2025-06-21 11:42:12,medium
TXN-2011244,legit,,analyst_B,2025-06-21 12:51:16,low
TXN-2021228,legit,,analyst_B,2025-06-21 13:22:09,low
TXN-2000075,legit,,analyst_B,2025-06-21 13:26:59,medium
TXN-2014967,legit,,analyst_B,2025-06-22 00:27:20,medium
TXN-2005242,legit,,analyst_B,2025-06-22 00:55:44,high
TXN-2008243,legit,,analyst_A,2025-06-22 03:00:24,low
TXN-2003364,legit,,analyst_B,2025-06-22 03:27:43,low
TXN-2001717,legit,,analyst_B,2025-06-22 04:39:13,medium
TXN-2015103,legit,,analyst_A,2025-06-22 04:54:32,medium
TXN-2000693,legit,,analyst_A,2025-06-22 05:19:04,medium
TXN-2005352,legit,,analyst_A,2025-06-22 05:24:49,high
TXN-2016964,legit,,analyst_B,2025-06-22 06:49:38,high
TXN-2001111,legit,,analyst_B,2025-06-22 06:57:24,high
TXN-2023157,legit,,analyst_B,2025-06-22 07:29:38,high
TXN-2012324,legit,,analyst_B,2025-06-22 08:47:33,high
TXN-2022826,legit,,analyst_A,2025-06-22 12:47:18,medium
TXN-2006651,legit,,analyst_A,2025-06-22 14:37:04,low
TXN-2012471,legit,,analyst_A,2025-06-22 14:51:39,high
TXN-2024615,legit,,analyst_A,2025-06-22 15:44:44,high
TXN-2011119,legit,,analyst_A,2025-06-22 16:26:18,low
TXN-2000211,legit,,analyst_A,2025-06-22 16:46:22,high
TXN-2008698,legit,,analyst_B,2025-06-22 20:07:57,high
TXN-2024308,legit,,analyst_A,2025-06-22 22:29:17,medium
TXN-2013110,legit,,analyst_B,2025-06-23 03:22:29,high
TXN-2005493,legit,,analyst_B,2025-06-23 07:10:39,high
TXN-2023058,legit,,analyst_B,2025-06-23 09:22:49,medium
TXN-2004689,legit,,analyst_A,2025-06-23 10:57:18,medium
TXN-2024243,legit,,analyst_A,2025-06-23 15:58:56,medium
TXN-2010385,legit,,analyst_A,2025-06-23 17:32:53,high
TXN-2010950,legit,,analyst_A,2025-06-23 18:51:24,medium
TXN-2019289,legit,,analyst_A,2025-06-23 18:53:56,medium
TXN-2002150,legit,,analyst_A,2025-06-23 22:02:36,high
TXN-2015036,legit,,analyst_A,2025-06-23 22:46:16,medium
TXN-2014506,legit,,analyst_B,2025-06-23 23:27:46,low
TXN-2013426,legit,,analyst_A,2025-06-24 00:59:18,medium
TXN-2016764,legit,,analyst_B,2025-06-24 01:53:07,medium
TXN-2020159,legit,,analyst_B,2025-06-24 02:58:53,medium
TXN-2023835,legit,,analyst_B,2025-06-24 06:20:10,high
TXN-2013675,legit,,analyst_A,2025-06-24 09:17:41,high
TXN-2006942,legit,,analyst_A,2025-06-24 10:08:19,high
TXN-2020714,legit,,analyst_B,2025-06-24 12:37:34,medium
TXN-2021276,legit,,analyst_A,2025-06-24 14:02:10,low
TXN-2019351,legit,,analyst_B,2025-06-24 14:34:45,high
TXN-2018406,legit,,analyst_A,2025-06-24 16:06:10,medium
TXN-2004627,legit,,analyst_A,2025-06-24 17:47:18,low
TXN-2004436,legit,,analyst_A,2025-06-24 17:50:58,high
TXN-2023998,legit,,analyst_A,2025-06-24 17:52:35,low
TXN-2011662,legit,,analyst_A,2025-06-24 18:35:35,high
TXN-2007323,legit,,analyst_B,2025-06-24 23:04:14,medium
TXN-2024483,legit,,analyst_A,2025-06-25 01:22:48,high
TXN-2002406,legit,,analyst_B,2025-06-25 02:47:24,low
TXN-2010651,legit,,analyst_A,2025-06-25 03:26:42,medium
TXN-2004496,legit,,analyst_B,2025-06-25 06:13:13,medium
TXN-2011702,legit,,analyst_B,2025-06-25 07:38:17,medium
TXN-2009871,legit,,analyst_A,2025-06-25 08:58:37,medium
TXN-2019616,legit,,analyst_B,2025-06-25 10:09:45,high
TXN-2016438,legit,,analyst_A,2025-06-25 10:21:37,high
TXN-2024742,legit,,analyst_A,2025-06-25 10:36:00,medium
TXN-2019625,legit,,analyst_B,2025-06-25 10:57:10,low
TXN-2003766,legit,,analyst_B,2025-06-25 11:10:46,low
TXN-2010894,legit,,analyst_B,2025-06-25 11:31:33,medium
TXN-2008645,legit,,analyst_A,2025-06-25 11:55:22,low
TXN-2021528,legit,,analyst_B,2025-06-25 13:24:49,high
TXN-2016153,legit,,analyst_A,2025-06-25 14:41:16,high
TXN-2012548,legit,,analyst_A,2025-06-25 14:50:29,high
TXN-2001317,legit,,analyst_B,2025-06-25 15:53:12,medium
TXN-2021153,legit,,analyst_A,2025-06-25 16:15:28,medium
TXN-2010438,legit,,analyst_A,2025-06-25 18:44:25,low
TXN-2021766,legit,,analyst_A,2025-06-25 20:29:38,low
TXN-2016694,legit,,analyst_B,2025-06-25 21:58:05,low
TXN-2016813,legit,,analyst_A,2025-06-25 23:10:49,medium
TXN-2019419,fraud,merchant_collusion,analyst_B,2025-06-26 01:14:23,medium
TXN-2021616,legit,,analyst_A,2025-06-26 03:02:59,high
TXN-2011114,legit,,analyst_B,2025-06-26 03:15:15,high
TXN-2017321,legit,,analyst_B,2025-06-26 03:42:22,high
TXN-2015236,legit,,analyst_B,2025-06-26 05:25:22,medium
TXN-2002406,legit,,analyst_A,2025-06-26 05:47:24,high
TXN-2016988,legit,,analyst_B,2025-06-26 05:50:03,medium
TXN-2014399,legit,,analyst_A,2025-06-26 07:53:37,high
TXN-2021375,legit,,analyst_B,2025-06-26 08:27:42,high
TXN-2007400,legit,,analyst_A,2025-06-26 10:47:43,low
TXN-2018847,legit,,analyst_B,2025-06-26 12:32:08,medium
TXN-2016764,legit,,analyst_A,2025-06-26 12:53:07,high
TXN-2010048,legit,,analyst_A,2025-06-26 13:26:05,high
TXN-2007674,legit,,analyst_B,2025-06-26 14:03:28,low
TXN-2003974,legit,,analyst_A,2025-06-26 14:20:11,high
TXN-2007917,legit,,analyst_B,2025-06-26 14:57:17,medium
TXN-2017411,legit,,analyst_B,2025-06-26 17:23:10,medium
TXN-2002026,legit,,analyst_B,2025-06-26 18:49:51,high
TXN-2020727,legit,,analyst_A,2025-06-26 18:56:42,medium
TXN-2002554,legit,,analyst_B,2025-06-26 19:42:23,low
TXN-2023695,legit,,analyst_B,2025-06-26 22:45:11,high
TXN-2019354,legit,,analyst_A,2025-06-26 22:59:11,medium
TXN-2012437,legit,,analyst_B,2025-06-26 23:14:02,high
TXN-2008743,legit,,analyst_B,2025-06-27 02:29:57,low
TXN-2007288,legit,,analyst_B,2025-06-27 03:20:00,low
TXN-2017217,legit,,analyst_A,2025-06-27 03:28:10,high
TXN-2017855,legit,,analyst_B,2025-06-27 04:23:13,high
TXN-2010453,legit,,analyst_B,2025-06-27 07:46:51,high
TXN-2009806,legit,,analyst_B,2025-06-27 08:14:29,high
TXN-2005974,legit,,analyst_A,2025-06-27 14:27:14,medium
TXN-2024406,legit,,analyst_A,2025-06-27 14:40:59,medium
TXN-2011871,legit,,analyst_B,2025-06-27 15:11:49,high
TXN-2006927,legit,,analyst_A,2025-06-27 21:08:57,low
TXN-2024685,legit,,analyst_B,2025-06-27 21:42:21,low
TXN-2007186,legit,,analyst_A,2025-06-27 22:02:33,medium
TXN-2012811,legit,,analyst_B,2025-06-27 23:29:12,low
TXN-2020361,legit,,analyst_A,2025-06-28 01:25:18,high
TXN-2003889,legit,,analyst_A,2025-06-28 01:26:56,high
TXN-2009114,legit,,analyst_B,2025-06-28 02:03:30,medium
TXN-2004956,legit,,analyst_B,2025-06-28 12:57:53,high
TXN-2009508,legit,,analyst_A,2025-06-28 13:49:57,high
TXN-2017911,legit,,analyst_B,2025-06-28 22:07:44,low
TXN-2008946,legit,,analyst_B,2025-06-29 00:44:30,low
TXN-2003520,legit,,analyst_A,2025-06-29 00:58:13,high
TXN-2002313,legit,,analyst_A,2025-06-29 01:51:32,medium
TXN-2018551,legit,,analyst_B,2025-06-29 02:38:13,medium
TXN-2014303,legit,,analyst_B,2025-06-29 03:33:01,low
TXN-2010340,legit,,analyst_A,2025-06-29 04:05:46,low
TXN-2006825,legit,,analyst_B,2025-06-29 06:40:20,low
TXN-2006892,legit,,analyst_A,2025-06-29 08:34:32,low
TXN-2016357,legit,,analyst_B,2025-06-29 09:04:03,high
TXN-2022491,legit,,analyst_A,2025-06-29 11:53:02,high
TXN-2012618,legit,,analyst_B,2025-06-29 14:02:06,medium
TXN-2015151,legit,,analyst_B,2025-06-29 14:15:35,medium
TXN-2011494,legit,,analyst_B,2025-06-29 15:41:38,high
TXN-2016842,legit,,analyst_B,2025-06-29 17:08:09,medium
TXN-2004664,fraud,account_takeover,analyst_A,2025-06-29 17:31:45,low
TXN-2011807,legit,,analyst_A,2025-06-29 22:38:14,high
TXN-2021015,legit,,analyst_B,2025-06-30 00:22:15,medium
TXN-2001424,legit,,analyst_A,2025-06-30 00:49:20,low
TXN-2015538,legit,,analyst_A,2025-06-30 01:55:47,medium
TXN-2021908,legit,,analyst_A,2025-06-30 04:25:34,high
TXN-2001974,legit,,analyst_A,2025-06-30 05:21:46,low
TXN-2021834,legit,,analyst_A,2025-06-30 07:26:24,high
TXN-2020622,legit,,analyst_A,2025-06-30 08:00:55,low
TXN-2003594,legit,,analyst_B,2025-06-30 08:38:26,high
TXN-2014383,legit,,analyst_B,2025-06-30 08:44:33,high
TXN-2007786,legit,,analyst_A,2025-06-30 09:17:38,low
TXN-2020814,legit,,analyst_A,2025-06-30 09:49:26,high
TXN-2014523,legit,,analyst_B,2025-06-30 10:11:07,high
TXN-2016323,legit,,analyst_A,2025-06-30 11:06:28,low
TXN-2021976,legit,,analyst_A,2025-06-30 11:46:15,low
TXN-2012336,legit,,analyst_B,2025-06-30 11:54:10,low
TXN-2010520,legit,,analyst_A,2025-06-30 12:35:20,medium
TXN-2003716,legit,,analyst_A,2025-06-30 12:57:16,low
TXN-2013601,legit,,analyst_A,2025-06-30 15:17:42,high
TXN-2021716,legit,,analyst_A,2025-06-30 17:16:15,medium
TXN-2006285,legit,,analyst_B,2025-06-30 18:19:52,medium
TXN-2001432,legit,,analyst_A,2025-06-30 18:43:26,high
TXN-2011469,legit,,analyst_B,2025-06-30 20:37:23,medium
TXN-2016514,legit,,analyst_A,2025-06-30 21:01:45,medium
TXN-2019542,legit,,analyst_A,2025-06-30 21:42:43,medium
TXN-2023913,legit,,analyst_B,2025-07-01 00:07:56,medium
TXN-2017615,legit,,analyst_B,2025-07-01 00:19:53,medium
TXN-2007555,legit,,analyst_B,2025-07-01 01:21:17,low
TXN-2017240,legit,,analyst_A,2025-07-01 01:28:49,high
TXN-2014344,legit,,analyst_A,2025-07-01 01:33:34,high
TXN-2009681,legit,,analyst_B,2025-07-01 02:16:48,high
TXN-2006204,legit,,analyst_A,2025-07-01 03:47:53,high
TXN-2002183,legit,,analyst_A,2025-07-01 06:07:34,high
TXN-2023995,legit,,analyst_A,2025-07-01 07:02:06,high
TXN-2023758,legit,,analyst_A,2025-07-01 08:00:30,medium
TXN-2015440,legit,,analyst_B,2025-07-01 08:12:46,medium
TXN-2008198,legit,,analyst_A,2025-07-01 09:06:42,high
TXN-2018129,legit,,analyst_B,2025-07-01 10:04:58,medium
TXN-2006700,legit,,analyst_A,2025-07-01 10:09:51,low
TXN-2009008,legit,,analyst_A,2025-07-01 11:02:16,medium
TXN-2012900,legit,,analyst_A,2025-07-01 11:31:51,low
TXN-2019356,legit,,analyst_A,2025-07-01 12:10:11,medium
TXN-2018388,legit,,analyst_B,2025-07-01 12:20:23,medium
TXN-2020762,legit,,analyst_B,2025-07-01 12:23:53,medium
TXN-2007312,legit,,analyst_A,2025-07-01 16:08:53,high
TXN-2004470,legit,,analyst_A,2025-07-01 19:00:55,high
TXN-2014644,legit,,analyst_B,2025-07-01 19:07:38,high
TXN-2018903,legit,,analyst_A,2025-07-01 19:45:37,medium
TXN-2003185,legit,,analyst_A,2025-07-01 21:15:01,high
TXN-2012296,legit,,analyst_A,2025-07-01 21:59:10,low
TXN-2017448,legit,,analyst_B,2025-07-01 22:10:52,medium
TXN-2010583,legit,,analyst_A,2025-07-01 22:26:56,high
TXN-2000151,legit,,analyst_A,2025-07-01 23:17:32,medium
TXN-2006612,legit,,analyst_A,2025-07-01 23:46:19,medium
TXN-2003544,legit,,analyst_A,2025-07-02 01:24:47,medium
TXN-2018500,legit,,analyst_B,2025-07-02 06:09:11,low
TXN-2004253,legit,,analyst_B,2025-07-02 09:31:56,high
TXN-2024338,legit,,analyst_A,2025-07-02 10:46:30,medium
TXN-2005613,legit,,analyst_A,2025-07-02 12:11:40,high
TXN-2023404,legit,,analyst_A,2025-07-02 12:53:25,high
TXN-2008813,legit,,analyst_A,2025-07-02 13:07:35,medium
TXN-2019909,legit,,analyst_A,2025-07-02 13:07:42,high
TXN-2023567,legit,,analyst_A,2025-07-02 13:30:03,high
TXN-2018811,legit,,analyst_A,2025-07-02 14:51:30,low
TXN-2020876,legit,,analyst_A,2025-07-02 15:44:37,low
TXN-2011142,legit,,analyst_A,2025-07-02 16:25:38,medium
TXN-2004161,legit,,analyst_A,2025-07-02 16:41:59,medium
TXN-2011997,legit,,analyst_A,2025-07-02 16:47:04,medium
TXN-2005724,legit,,analyst_A,2025-07-02 18:42:03,high
TXN-2013659,legit,,analyst_A,2025-07-02 21:24:24,low
TXN-2013165,legit,,analyst_B,2025-07-02 22:46:03,medium
TXN-2013280,legit,,analyst_B,2025-07-02 22:54:45,high
TXN-2004672,legit,,analyst_B,2025-07-02 23:49:42,medium
TXN-2004965,legit,,analyst_B,2025-07-03 01:26:16,low
TXN-2012541,legit,,analyst_A,2025-07-03 02:42:34,high
TXN-2015613,legit,,analyst_A,2025-07-03 03:09:52,high
TXN-2022211,legit,,analyst_B,2025-07-03 03:31:28,high
TXN-2022536,legit,,analyst_B,2025-07-03 04:25:55,high
TXN-2008916,legit,,analyst_B,2025-07-03 06:59:32,medium
TXN-2011275,legit,,analyst_B,2025-07-03 07:40:42,high
TXN-2013427,legit,,analyst_B,2025-07-03 08:28:01,low
TXN-2017650,legit,,analyst_B,2025-07-03 10:34:23,medium
TXN-2016760,legit,,analyst_B,2025-07-03 11:38:52,medium
TXN-2024199,legit,,analyst_B,2025-07-03 11:57:32,high
TXN-2002040,legit,,analyst_A,2025-07-03 16:58:20,medium
TXN-2022968,legit,,analyst_B,2025-07-03 18:22:10,low
TXN-2004664,legit,,analyst_B,2025-07-03 18:31:45,high
TXN-2011681,legit,,analyst_A,2025-07-03 18:39:37,low
TXN-2001740,legit,,analyst_A,2025-07-03 19:04:50,medium
TXN-2017640,legit,,analyst_A,2025-07-03 21:24:54,high
TXN-2011895,legit,,analyst_B,2025-07-03 23:37:05,low
TXN-2016234,legit,,analyst_B,2025-07-04 00:13:33,low
TXN-2017700,legit,,analyst_B,2025-07-04 03:06:59,high
TXN-2010432,legit,,analyst_A,2025-07-04 04:00:59,high
TXN-2015463,legit,,analyst_B,2025-07-04 04:34:06,medium
TXN-2010098,legit,,analyst_A,2025-07-04 05:32:33,high
TXN-2019689,legit,,analyst_A,2025-07-04 05:35:51,low
TXN-2007540,legit,,analyst_B,2025-07-04 05:41:17,high
TXN-2000195,legit,,analyst_A,2025-07-04 08:31:17,medium
TXN-2018562,legit,,analyst_A,2025-07-04 08:38:26,high
TXN-2017016,legit,,analyst_A,2025-07-04 09:33:15,medium
TXN-2003646,legit,,analyst_B,2025-07-04 14:50:25,medium
TXN-2018874,legit,,analyst_B,2025-07-04 16:55:30,medium
TXN-2022495,legit,,analyst_B,2025-07-04 17:06:01,high
TXN-2020027,legit,,analyst_A,2025-07-04 17:47:18,low
TXN-2001614,legit,,analyst_A,2025-07-04 19:31:34,high
TXN-2003456,legit,,analyst_B,2025-07-04 20:00:27,high
TXN-2007584,legit,,analyst_B,2025-07-04 20:19:58,medium
TXN-2007795,legit,,analyst_B,2025-07-04 21:22:31,low
TXN-2006203,legit,,analyst_B,2025-07-04 21:43:22,low
TXN-2007511,legit,,analyst_B,2025-07-04 21:50:05,medium
TXN-2017617,legit,,analyst_B,2025-07-04 23:07:19,medium
TXN-2004938,legit,,analyst_A,2025-07-05 00:17:13,medium
TXN-2005649,legit,,analyst_B,2025-07-05 01:50:50,medium
TXN-2019102,legit,,analyst_B,2025-07-05 02:48:04,high
TXN-2021151,legit,,analyst_B,2025-07-05 02:57:04,high
TXN-2019672,legit,,analyst_A,2025-07-05 02:58:22,medium
TXN-2014260,legit,,analyst_A,2025-07-05 03:59:24,high
TXN-2021270,legit,,analyst_B,2025-07-05 05:46:41,medium
TXN-2006346,legit,,analyst_A,2025-07-05 06:58:00,high
TXN-2003720,legit,,analyst_B,2025-07-05 07:09:08,medium
TXN-2018933,legit,,analyst_A,2025-07-05 11:06:54,medium
TXN-2022917,legit,,analyst_B,2025-07-05 15:10:41,medium
TXN-2013315,legit,,analyst_B,2025-07-05 16:01:30,medium
TXN-2005360,legit,,analyst_B,2025-07-05 16:13:13,high
TXN-2018354,legit,,analyst_B,2025-07-05 16:44:57,medium
TXN-2004938,legit,,analyst_B,2025-07-05 17:17:13,medium
TXN-2019721,legit,,analyst_B,2025-07-05 17:40:36,medium
TXN-2018899,legit,,analyst_A,2025-07-05 17:49:30,high
TXN-2000110,legit,,analyst_A,2025-07-05 18:16:11,high
TXN-2008705,legit,,analyst_B,2025-07-05 18:56:31,low
TXN-2021189,legit,,analyst_B,2025-07-05 19:59:07,low
TXN-2015315,legit,,analyst_A,2025-07-05 20:55:11,low
TXN-2001354,legit,,analyst_A,2025-07-05 21:52:14,high
TXN-2000511,legit,,analyst_B,2025-07-06 00:03:35,low
TXN-2002940,legit,,analyst_A,2025-07-06 01:09:43,high
TXN-2024903,legit,,analyst_B,2025-07-06 01:44:39,medium
TXN-2006117,legit,,analyst_A,2025-07-06 02:20:05,low
TXN-2012093,legit,,analyst_B,2025-07-06 02:51:43,high
TXN-2022288,legit,,analyst_A,2025-07-06 02:57:06,medium
TXN-2008799,legit,,analyst_A,2025-07-06 03:07:38,low
TXN-2020222,legit,,analyst_B,2025-07-06 03:31:30,low
TXN-2020727,legit,,analyst_B,2025-07-06 03:56:42,medium
TXN-2019608,legit,,analyst_B,2025-07-06 04:32:14,medium
TXN-2000557,legit,,analyst_B,2025-07-06 04:37:02,medium
TXN-2015918,legit,,analyst_B,2025-07-06 04:39:00,high
TXN-2007883,legit,,analyst_B,2025-07-06 05:03:10,medium
TXN-2014008,legit,,analyst_B,2025-07-06 07:05:17,medium
TXN-2015131,legit,,analyst_A,2025-07-06 07:56:06,high
TXN-2024645,legit,,analyst_B,2025-07-06 08:03:42,medium
TXN-2021645,legit,,analyst_B,2025-07-06 10:16:35,high
TXN-2014950,legit,,analyst_B,2025-07-06 11:07:12,high
TXN-2018377,legit,,analyst_A,2025-07-06 12:11:02,high
TXN-2002113,legit,,analyst_B,2025-07-06 12:32:08,low
TXN-2004619,legit,,analyst_A,2025-07-06 12:52:09,low
TXN-2017448,legit,,analyst_A,2025-07-06 13:10:52,high
TXN-2002860,legit,,analyst_A,2025-07-06 13:49:34,medium
TXN-2013950,legit,,analyst_A,2025-07-06 14:40:24,medium
TXN-2000037,legit,,analyst_B,2025-07-06 16:14:31,high
TXN-2004412,legit,,analyst_A,2025-07-06 16:19:39,medium
TXN-2000854,legit,,analyst_A,2025-07-06 16:48:15,medium
TXN-2001222,legit,,analyst_A,2025-07-06 16:54:36,medium
TXN-2024408,legit,,analyst_B,2025-07-06 18:40:30,low
TXN-2018131,legit,,analyst_A,2025-07-06 19:42:18,high
TXN-2008849,legit,,analyst_B,2025-07-06 19:55:36,high
